county_state,hyp_total_2009,cig_total_2012,cig_daily_2012,obs_total_2006,dbt_total_2012,alc_any_2008,alc_heavy_2008,alc_binge_2008,hd_deaths_per100k_over65
"Meeker, MN",39.09,21.23,15.59,77.91,7.91,61.8,8.0,21.7,952.2
"Mille Lacs, MN",41.05,23.58,17.1,79.94,8.48,58.9,8.5,21.8,902.7
"Morrison, MN",40.86,21.2,15.34,79.28,8.24,66.4,11.5,27.5,717.5
"Mower, MN",39.7,21.98,16.27,78.8,8.83,63.7,8.9,23.4,1001.3
"Murray, MN",40.86,21.18,15.52,78.25,8.02,62.4,9.1,23.3,801.9
"Nicollet, MN",37.1,18.9,13.01,82.89,7.64,68.8,8.8,22.4,791.7
"Nobles, MN",39.39,22.58,16.52,75.83,8.87,56.9,7.5,18.8,850.0
"Norman, MN",41.4,22.74,16.99,74.77,8.5,61.7,8.8,24.6,899.0
"Olmsted, MN",36.89,17.13,11.71,84.74,6.85,66.5,8.1,19.7,889.0
"Otter Tail, MN",40.55,20.21,15.0,76.44,7.4,63.6,8.5,22.1,932.2
"Pennington, MN",41.63,25.47,19.28,77.09,8.21,61.4,7.2,21.9,1107.7
"Pine, MN",41.76,26.34,19.49,77.56,8.77,56.8,9.6,21.9,886.9
"Pipestone, MN",40.61,22.9,17.11,76.71,8.14,57.5,7.1,18.8,977.5
"Polk, MN",39.53,20.84,15.52,75.85,8.39,63.5,8.7,23.2,1005.2
"Pope, MN",40.01,19.86,14.35,80.47,7.43,64.8,9.1,24.9,780.9
"Ramsey, MN",37.36,19.51,13.22,82.19,7.82,67.3,9.1,19.7,701.2
"Red Lake, MN",42.22,23.87,17.95,74.87,8.38,63.8,10.3,27.4,1037.7
"Redwood, MN",40.49,23.21,17.18,79.23,8.23,62.6,8.8,22.7,875.6
"Renville, MN",39.96,22.12,16.03,78.0,7.96,61.6,8.9,22.8,783.9
"Rice, MN",38.96,18.88,13.48,80.83,7.76,65.5,8.2,21.9,911.2
"Rock, MN",39.02,21.87,16.5,77.5,7.93,61.0,7.1,20.1,980.0
"Roseau, MN",39.39,23.05,16.81,76.56,8.16,61.3,9.2,22.6,1132.1
"Scott, MN",36.11,15.37,10.77,83.03,7.52,68.8,8.7,22.3,685.7
"Sherburne, MN",38.98,20.91,15.54,82.85,7.8,66.0,8.3,20.7,722.0
"Sibley, MN",40.58,21.38,15.18,78.7,8.04,61.7,8.5,21.8,780.0
"Stearns, MN",39.08,18.48,13.51,83.03,7.74,68.6,9.6,23.6,671.3
"Steele, MN",38.12,19.57,13.96,78.88,7.79,65.8,8.5,22.5,929.8
"Stevens, MN",39.77,19.0,13.5,78.81,7.61,64.5,8.2,22.3,940.0
"Swift, MN",40.09,22.26,16.75,76.27,8.04,63.1,8.4,22.6,862.6
"Todd, MN",41.18,21.91,16.27,78.39,8.34,61.6,8.5,20.9,740.8
"Traverse, MN",42.35,20.91,15.23,75.17,8.2,61.4,8.4,21.4,1111.5
"Wabasha, MN",38.46,20.45,15.0,81.62,7.31,67.9,10.1,23.4,934.9
"Wadena, MN",41.37,23.57,18.0,76.37,8.5,58.6,8.0,20.3,920.2
"Waseca, MN",38.89,21.91,15.99,79.56,7.8,62.9,8.4,23.0,922.7
"Washington, MN",35.67,16.64,11.59,83.08,7.16,70.9,8.4,20.8,691.7
"Watonwan, MN",39.41,22.49,16.15,74.59,8.65,56.4,7.0,19.6,879.0
"Wilkin, MN",39.34,22.43,17.24,74.42,7.97,68.9,9.9,26.4,1046.0
"Winona, MN",39.91,19.52,14.07,81.68,8.11,68.7,10.3,24.8,968.9
"Wright, MN",40.37,20.3,14.55,83.75,7.63,65.7,8.1,21.1,864.9
"Yellow Medicine, MN",39.8,21.59,15.86,78.74,7.72,61.0,7.5,21.0,909.1
"Adams, MS",43.02,25.36,17.42,62.29,14.79,47.6,7.0,16.9,1163.7
"Alcorn, MS",43.23,25.73,19.14,64.26,11.98,29.4,3.7,9.8,1516.1
"Amite, MS",44.85,27.3,19.48,64.82,14.84,33.6,5.4,10.9,1597.4
"Attala, MS",44.68,24.32,17.09,60.42,13.99,34.2,4.5,10.6,1278.1
"Benton, MS",44.64,26.92,20.06,59.23,15.05,25.4,3.4,8.9,1166.8
"Bolivar, MS",44.04,23.75,15.76,61.51,15.05,42.8,6.2,13.7,1417.6
"Calhoun, MS",44.08,27.32,20.02,60.21,13.56,27.5,3.7,9.4,1235.4
"Carroll, MS",43.85,25.82,18.58,65.21,13.03,37.9,5.5,11.6,1295.0
"Chickasaw, MS",45.72,26.65,18.85,61.91,14.47,30.3,3.7,9.7,1267.3
"Choctaw, MS",44.92,23.8,16.88,64.0,13.44,31.6,4.5,9.9,1115.4
"Claiborne, MS",46.15,24.15,15.08,65.37,18.14,44.4,7.5,15.0,1728.7
"Clarke, MS",44.15,25.88,19.24,63.68,13.77,30.7,4.2,10.0,1573.7
"Clay, MS",43.07,24.47,16.13,66.64,14.13,38.0,4.2,11.4,1188.0
"Coahoma, MS",46.63,25.3,17.27,63.69,16.23,44.4,6.2,14.7,1179.3
"Copiah, MS",44.7,27.18,18.99,63.79,15.32,37.6,5.5,11.3,1386.7
"Covington, MS",46.97,26.46,18.71,62.74,13.53,32.5,4.9,10.0,1544.2
"DeSoto, MS",42.08,24.13,17.91,67.52,12.32,48.4,5.8,14.2,1242.5
"Forrest, MS",40.79,23.29,16.83,67.11,12.84,45.7,7.1,15.2,1199.8
"Franklin, MS",44.48,25.97,19.13,63.24,12.49,33.9,5.2,11.1,1354.5
"George, MS",44.66,26.24,19.94,66.26,11.57,31.2,4.9,10.5,1936.2
"Greene, MS",44.64,27.8,20.61,60.85,13.34,30.4,5.5,11.1,1608.5
"Grenada, MS",45.26,26.82,19.4,61.61,13.71,40.6,5.8,13.0,1380.6
"Hancock, MS",42.94,25.54,19.22,70.76,11.39,54.1,9.8,18.3,1226.6
"Harrison, MS",42.35,26.44,19.24,69.73,12.61,55.1,9.5,18.4,1538.8
"Hinds, MS",41.99,22.81,15.61,67.65,13.88,50.3,6.8,14.9,1182.9
"Holmes, MS",48.46,25.54,17.14,59.65,19.16,36.5,5.7,13.1,1250.6
"Humphreys, MS",48.0,26.51,18.65,55.34,17.87,39.0,5.7,12.5,1627.7
"Issaquena, MS",49.36,29.82,20.94,51.29,17.06,32.9,5.6,10.8,1173.9
"Itawamba, MS",44.62,25.64,19.52,67.5,11.56,31.3,4.6,10.7,1483.3
"Jackson, MS",42.18,25.4,18.4,66.67,12.49,50.3,8.5,17.5,1193.9
"Jasper, MS",44.52,24.44,17.18,63.65,14.85,34.5,5.1,11.2,1291.2
"Jefferson, MS",46.05,24.38,15.22,58.81,18.18,37.6,6.8,12.7,1364.3
"Jefferson Davis, MS",45.05,25.18,16.16,61.62,15.41,35.2,5.5,11.8,1233.2
"Jones, MS",44.51,24.81,18.12,65.12,12.94,33.7,5.0,11.4,1369.8
"Kemper, MS",46.16,26.16,18.31,59.45,16.38,37.4,6.9,12.9,1111.5
"Lafayette, MS",41.56,18.27,12.99,69.87,11.58,49.8,8.3,16.3,1457.7
"Lamar, MS",41.49,19.62,13.88,69.88,9.44,43.9,5.9,12.4,1187.3
"Lauderdale, MS",44.39,26.21,18.75,68.51,14.06,40.9,5.6,12.3,1386.3
"Lawrence, MS",43.85,26.12,18.08,65.21,13.2,32.2,4.3,10.4,1807.8
"Leake, MS",44.86,27.4,19.8,61.2,14.93,32.7,4.7,10.5,1176.1
"Lee, MS",42.73,25.47,18.34,67.89,11.46,39.7,5.4,11.9,1098.5
"Leflore, MS",46.72,25.96,18.31,58.21,17.35,41.7,6.6,14.1,1590.5
"Lincoln, MS",45.7,26.1,18.8,66.53,12.71,34.5,4.6,10.5,1450.8
"Lowndes, MS",42.42,23.36,15.89,67.79,13.84,41.3,5.0,12.4,1200.1
"Madison, MS",36.56,16.81,11.01,71.49,10.11,54.5,7.6,14.5,1408.0
"Marion, MS",44.38,26.54,19.41,63.58,13.48,33.2,4.8,10.9,1304.7
"Marshall, MS",45.35,28.65,21.18,59.54,15.08,37.3,5.8,12.6,1170.0
"Monroe, MS",44.9,26.61,19.26,64.51,13.1,34.6,4.8,11.4,1139.8
"Montgomery, MS",44.47,27.02,19.2,59.16,14.41,36.9,4.8,11.7,1366.4
"Neshoba, MS",43.89,28.74,22.01,64.8,13.59,35.0,5.3,10.7,2051.2
"Newton, MS",44.74,24.88,18.74,67.62,13.26,31.8,4.1,9.6,1337.9
"Noxubee, MS",46.59,26.91,17.93,56.01,17.89,34.6,5.5,13.2,1635.1
"Oktibbeha, MS",42.04,16.26,10.02,68.74,13.45,44.8,6.4,14.0,959.5
"Panola, MS",45.35,26.25,19.24,64.17,14.2,39.2,6.3,13.8,1799.7
"Pearl River, MS",44.35,26.98,21.16,68.0,12.15,39.9,5.3,11.9,1300.8
"Perry, MS",46.32,27.54,20.95,66.58,12.96,32.3,5.3,11.5,1145.8
"Pike, MS",44.22,25.67,17.97,62.56,14.9,39.2,5.8,13.0,1325.8
"Pontotoc, MS",42.93,28.01,21.08,63.55,12.1,31.0,4.3,10.3,1125.6
"Prentiss, MS",47.42,27.95,21.63,65.62,12.45,27.8,4.0,9.7,1437.6
"Quitman, MS",47.75,27.65,19.53,58.36,17.03,36.4,6.3,12.9,1522.8
"Rankin, MS",40.25,22.91,16.45,72.29,10.82,46.3,5.7,12.5,909.3
"Scott, MS",45.79,27.86,20.5,58.34,14.52,33.9,4.8,11.2,1535.8
"Sharkey, MS",45.93,23.03,15.16,59.19,16.98,37.1,5.9,12.0,1086.5
"Simpson, MS",45.17,26.8,19.09,64.53,13.72,30.6,4.0,9.5,1433.0
"Smith, MS",45.67,25.41,18.81,66.21,12.53,31.3,5.2,11.1,1138.5
"Stone, MS",44.6,26.21,19.65,65.94,11.94,37.4,6.1,11.8,1460.5
"Sunflower, MS",45.77,26.38,18.47,62.26,17.37,41.5,6.2,13.9,1302.1
"Tallahatchie, MS",46.94,28.74,21.13,61.84,16.68,36.4,5.7,13.1,1074.4
"Tate, MS",43.29,24.44,18.43,65.48,12.87,37.1,4.8,11.3,1542.1
"Tippah, MS",44.22,28.1,21.84,61.67,12.51,27.2,3.7,9.5,1462.0
"Tishomingo, MS",44.09,27.1,20.62,65.93,11.87,29.1,4.1,10.0,1893.0
"Tunica, MS",46.53,25.74,17.16,58.4,17.12,40.3,5.5,13.8,2034.9
"Union, MS",43.47,27.61,21.68,65.37,11.58,30.7,4.0,10.0,1447.6
"Walthall, MS",44.55,25.62,17.82,61.35,15.04,33.2,5.1,10.9,1517.7
"Warren, MS",42.73,24.98,17.21,63.26,12.93,47.7,6.4,13.4,1200.6
"Washington, MS",44.35,24.97,16.99,62.96,16.25,45.6,5.7,13.4,1238.2
"Wayne, MS",46.11,25.23,18.5,61.99,14.22,30.7,4.8,10.5,1467.1
"Webster, MS",43.95,24.32,17.41,65.52,11.68,31.7,4.1,10.5,1895.8
"Wilkinson, MS",46.1,26.62,18.25,55.84,17.25,38.5,6.7,13.3,1306.9
"Winston, MS",43.24,23.13,16.03,61.97,14.62,34.1,4.6,10.9,1284.7
"Yalobusha, MS",44.81,27.56,20.73,66.25,13.64,31.8,3.8,10.6,1851.5
"Yazoo, MS",45.09,27.0,19.42,60.31,16.18,40.1,5.3,12.4,1048.5
"Adair, MO",40.38,23.27,17.88,74.06,10.4,47.4,7.7,18.1,1145.0
"Andrew, MO",39.2,24.4,18.91,73.96,9.08,53.8,7.4,18.3,1051.7
"Atchison, MO",40.73,22.83,17.24,71.74,9.05,53.9,7.8,20.2,976.4
"Audrain, MO",42.49,28.77,23.1,73.0,10.92,49.9,7.4,17.5,1115.9
"Barry, MO",41.46,28.25,22.72,70.23,10.78,44.3,6.4,14.4,1227.5
"Barton, MO",43.33,26.99,21.8,72.94,10.36,43.1,5.8,14.7,1236.3
"Bates, MO",41.76,29.91,23.45,68.88,10.4,44.2,6.0,15.6,1245.3
"Benton, MO",43.29,28.79,22.97,69.68,10.64,48.2,7.2,17.6,974.3
"Bollinger, MO",42.95,28.25,22.62,69.72,10.8,44.8,7.8,18.3,1332.9
"Boone, MO",38.41,18.04,12.69,78.93,8.77,60.4,7.9,18.7,904.5
"Buchanan, MO",41.54,28.44,22.12,69.32,10.91,52.3,7.4,18.4,1271.4
"Butler, MO",44.35,29.93,23.95,63.41,10.53,45.3,7.6,17.5,1180.7
"Caldwell, MO",41.78,25.39,19.74,67.26,10.2,46.6,7.0,17.3,1085.8
"Callaway, MO",42.45,24.34,18.78,74.53,9.92,55.1,7.9,19.1,1065.2
"Camden, MO",41.18,27.06,20.66,75.66,9.76,53.5,8.0,18.6,904.4
"Cape Girardeau, MO",39.17,23.94,18.53,73.68,9.53,55.6,7.1,17.5,1163.6
"Carroll, MO",40.9,26.95,21.05,71.78,10.39,48.5,6.0,16.0,1248.6
"Carter, MO",44.35,28.36,22.21,67.85,11.4,40.5,7.6,16.5,1163.9
"Cass, MO",40.52,25.76,19.49,74.74,9.9,54.7,6.7,17.5,1081.0
"Cedar, MO",43.03,26.98,21.56,72.78,10.84,43.4,7.0,15.4,1260.0
"Chariton, MO",43.0,26.35,20.89,73.73,10.33,52.8,8.3,20.1,1144.6
"Christian, MO",39.38,21.96,16.9,74.64,9.64,51.8,5.9,14.1,1037.7
"Clark, MO",41.68,27.83,22.15,72.06,9.91,47.4,7.4,18.3,1233.3
"Clay, MO",38.33,23.0,16.94,71.41,10.97,58.4,7.2,18.7,975.4
"Clinton, MO",40.36,25.61,19.78,70.51,9.77,50.5,7.4,18.0,1197.7
"Cole, MO",39.11,21.36,15.75,76.9,9.75,61.3,8.4,19.4,955.9
"Cooper, MO",42.02,27.35,21.23,73.15,10.2,53.6,7.7,18.4,1247.6
"Crawford, MO",44.44,29.54,23.8,69.04,10.96,46.9,7.7,19.0,1829.1
"Dade, MO",43.25,28.69,22.64,73.88,10.34,35.5,6.4,12.6,1226.9
"Dallas, MO",43.29,27.89,22.0,69.85,10.93,43.0,6.8,15.6,1106.1
"Daviess, MO",42.33,25.61,19.9,69.7,10.14,44.7,6.9,16.3,1256.3
"DeKalb, MO",42.74,29.71,23.25,67.91,10.87,46.9,7.3,16.4,1228.4
"Dent, MO",43.5,29.73,24.19,67.41,10.69,43.5,6.4,15.8,973.0
"Douglas, MO",43.39,28.77,23.59,67.83,11.0,39.7,7.6,15.8,1296.0
"Dunklin, MO",44.97,32.35,26.52,58.57,12.02,39.0,6.4,14.7,1598.5
"Franklin, MO",43.35,26.54,21.18,73.61,10.02,57.6,9.0,21.8,1236.7
"Gasconade, MO",42.71,27.05,21.33,73.38,10.08,52.1,8.0,20.3,1161.3
"Gentry, MO",42.43,26.98,21.34,71.72,9.5,46.2,7.3,17.2,1077.9
"Greene, MO",40.15,23.59,17.71,75.6,9.54,52.0,6.2,15.4,1164.5
"Grundy, MO",42.36,27.51,22.12,70.19,10.06,47.6,6.4,16.0,1043.1
"Harrison, MO",43.05,29.26,23.73,72.04,9.96,48.0,7.2,17.7,1210.5
"Henry, MO",42.01,28.05,22.04,70.4,10.0,48.9,6.7,16.7,1584.0
"Hickory, MO",44.31,31.03,24.55,70.3,11.05,42.2,7.0,16.5,928.2
"Holt, MO",41.83,25.56,19.91,72.27,9.47,50.2,7.0,18.3,995.2
"Howard, MO",40.34,25.9,20.05,75.8,10.22,52.0,7.6,18.7,1222.9
"Howell, MO",42.07,25.21,20.23,71.05,9.99,42.6,7.1,14.9,1158.8
"Iron, MO",44.45,29.82,24.05,67.05,11.15,44.3,7.1,17.0,1691.4
"Jackson, MO",40.25,25.9,18.2,70.52,11.62,56.5,7.3,16.9,1020.6
"Jasper, MO",42.46,27.52,22.11,71.95,10.78,46.5,5.9,14.2,1261.1
"Jefferson, MO",43.7,28.19,22.14,69.34,10.3,57.5,8.8,22.2,1294.0
"Johnson, MO",39.41,22.42,16.32,74.28,10.12,55.1,7.5,18.5,1347.9
"Knox, MO",42.74,26.19,20.6,73.04,10.11,47.3,7.8,18.1,1214.2
"Laclede, MO",43.05,29.07,23.8,68.51,10.81,44.3,6.0,14.8,1332.0
"Lafayette, MO",41.13,26.54,20.13,71.04,10.34,49.8,6.8,17.2,1129.6
"Lawrence, MO",41.53,27.21,21.7,73.37,10.62,44.4,6.1,14.2,1294.3
"Lewis, MO",42.8,26.64,20.86,69.6,10.1,47.5,7.5,16.9,1317.2
"Lincoln, MO",42.63,27.51,21.71,72.0,10.48,52.4,8.8,20.2,1069.2
"Linn, MO",41.82,27.66,22.15,73.49,10.09,50.0,7.5,19.4,1306.2
"Livingston, MO",42.12,25.97,20.54,71.94,10.19,49.9,6.5,16.6,957.5
"McDonald, MO",43.38,29.81,23.71,66.78,11.7,40.7,6.9,14.4,1248.4
"Macon, MO",41.57,26.46,21.29,70.98,10.17,48.2,6.5,16.0,1201.7
"Madison, MO",44.9,29.09,23.37,67.18,10.93,44.9,7.0,16.7,1313.5
"Maries, MO",42.8,26.11,19.96,72.67,10.24,47.8,7.8,18.0,1136.2
"Marion, MO",41.58,27.96,22.61,69.83,9.89,51.7,7.1,17.4,1200.8
"Mercer, MO",41.82,26.08,20.57,73.75,9.74,47.4,6.8,16.1,1103.0
"Miller, MO",42.32,27.63,21.56,73.82,10.56,49.4,7.8,18.2,1093.0
"Mississippi, MO",44.12,32.3,25.65,56.1,13.09,40.1,6.4,13.4,1535.7
"Moniteau, MO",41.85,26.54,20.73,72.29,10.07,51.3,7.0,16.6,1029.7
"Monroe, MO",42.77,27.1,21.67,73.35,10.26,49.8,7.6,18.7,1113.3
"Montgomery, MO",43.45,29.06,23.09,70.44,10.56,50.1,7.8,19.6,1369.8
"Morgan, MO",42.6,28.67,22.6,68.87,10.91,47.7,7.2,17.5,1113.9
"New Madrid, MO",44.52,29.79,23.67,58.67,12.51,42.1,6.6,14.8,1398.9
"Newton, MO",41.73,26.72,21.27,73.39,10.72,44.9,6.2,14.5,1335.0
"Nodaway, MO",41.41,23.9,18.2,73.78,9.41,53.2,8.5,19.5,1227.4
"Oregon, MO",44.31,28.73,23.08,69.3,11.4,41.2,7.2,15.3,1309.7
"Osage, MO",42.61,24.5,19.15,76.25,9.77,56.0,10.2,22.9,1041.0
"Ozark, MO",43.67,29.55,23.58,68.11,10.74,41.4,7.5,15.9,985.5
"Pemiscot, MO",45.26,31.69,24.4,55.47,13.31,37.8,6.4,13.3,1739.9
"Perry, MO",41.76,27.46,22.09,71.23,9.74,57.6,9.3,21.9,1183.1
"Pettis, MO",42.61,26.94,21.3,68.21,11.03,50.2,6.8,16.8,1188.5
"Phelps, MO",41.74,24.27,18.24,72.82,10.26,51.8,7.3,17.8,1115.4
"Pike, MO",43.0,29.88,23.32,71.26,10.99,51.8,7.2,16.3,1147.7
"Platte, MO",37.43,20.02,14.63,74.85,9.38,60.5,7.6,19.4,900.5
"Polk, MO",42.67,25.78,20.13,71.84,10.36,44.5,6.6,15.6,1221.3
"Pulaski, MO",40.26,24.57,17.9,73.62,11.57,47.8,7.0,15.6,1192.1
"Putnam, MO",43.29,26.1,20.53,73.89,9.99,46.7,7.5,16.5,1096.0
"Ralls, MO",41.33,25.22,19.62,73.72,9.67,52.6,8.1,19.1,1033.7
"Randolph, MO",43.62,29.56,24.2,72.09,10.8,48.8,7.4,17.5,1226.1
"Ray, MO",41.89,27.73,21.42,68.99,10.37,51.3,7.1,18.0,1137.0
"Reynolds, MO",44.27,31.21,25.29,66.72,11.64,39.9,7.0,16.1,1374.5
"Ripley, MO",45.55,30.5,24.35,62.31,11.42,40.2,7.9,17.0,1283.1
"Saline, MO",40.84,27.76,21.45,70.49,10.92,49.6,6.8,17.1,1215.8
"Schuyler, MO",42.37,29.43,23.7,75.23,10.28,45.1,7.5,17.4,1027.5
"Scotland, MO",42.83,25.22,19.69,70.99,9.67,45.9,7.3,17.1,1104.7
"Scott, MO",43.53,28.57,23.24,62.58,11.3,46.4,7.3,16.7,1194.2
"Shannon, MO",45.33,26.95,21.42,67.83,11.07,38.2,7.5,15.7,1148.2
"Shelby, MO",41.41,26.4,20.97,73.52,9.89,48.7,7.4,17.4,1253.6
"Stoddard, MO",44.15,28.91,23.8,63.22,10.38,43.9,7.1,17.4,1338.9
"Stone, MO",41.62,27.37,21.78,73.17,9.89,47.0,7.4,16.7,1354.4
"Sullivan, MO",43.01,26.97,20.56,68.7,10.87,43.1,7.0,16.9,1224.2
"Taney, MO",41.2,27.26,21.56,70.11,10.47,46.8,6.8,15.3,1640.3
"Texas, MO",43.79,28.49,22.56,68.02,11.28,38.5,6.3,13.4,1290.9
"Vernon, MO",42.78,29.8,24.16,70.49,10.21,43.8,6.5,15.3,1203.4
"Warren, MO",42.53,26.84,21.33,72.55,10.08,53.3,8.3,19.9,1041.9
"Washington, MO",45.42,31.7,25.32,63.65,11.71,41.2,8.2,18.9,1567.9
"Wayne, MO",45.27,30.53,24.66,62.75,11.35,40.7,7.7,17.2,1092.8
"Webster, MO",42.56,27.29,22.08,71.55,10.33,43.3,6.2,13.6,1306.0
"Worth, MO",40.13,24.39,19.08,73.02,9.71,47.7,6.6,15.7,1231.2
"Wright, MO",43.74,28.55,23.76,66.84,11.31,38.6,6.2,13.8,1688.4
"Beaverhead, MT",37.97,19.28,13.76,78.57,7.44,62.2,10.8,22.1,1058.5
"Big Horn, MT",38.58,30.99,20.97,70.58,12.57,46.6,6.7,18.8,1061.0
"Blaine, MT",39.15,27.65,18.77,69.53,11.37,53.9,8.2,22.7,1238.0
"Broadwater, MT",38.67,24.07,17.88,78.88,7.37,60.1,11.3,21.7,1006.8
"Carbon, MT",36.85,19.34,13.46,80.21,7.38,68.7,13.7,26.4,825.8
"Carter, MT",42.6,22.9,17.25,77.58,8.61,56.6,9.0,19.4,1115.0
"Cascade, MT",39.25,22.65,17.24,77.17,7.96,62.6,10.1,20.5,951.7
"Chouteau, MT",38.95,22.91,16.17,76.66,8.88,60.3,9.0,24.6,956.0
"Custer, MT",42.21,23.25,17.82,76.78,8.63,59.3,7.8,19.3,1168.3
"Daniels, MT",41.64,20.05,14.59,78.6,8.37,49.3,7.9,19.0,1170.8
"Dawson, MT",40.73,23.28,17.76,74.73,8.18,57.8,8.5,19.8,617.1
"Deer Lodge, MT",39.93,26.04,19.92,76.09,7.64,61.9,13.1,26.7,1243.6
"Fallon, MT",38.07,21.72,16.25,77.61,8.07,61.2,6.9,21.4,1047.9
"Fergus, MT",38.11,22.08,16.53,77.78,7.53,62.9,9.3,21.0,1198.5
"Flathead, MT",38.76,19.27,14.18,81.51,7.1,64.8,10.1,19.9,974.6
"Garfield, MT",39.58,23.0,17.37,77.4,8.63,60.1,11.9,25.1,1126.0
"Glacier, MT",39.05,29.13,20.08,67.44,12.53,52.3,7.9,22.2,1038.3
"Golden Valley, MT",41.4,20.01,14.32,76.81,8.23,62.5,13.7,25.9,1067.7
"Granite, MT",38.04,21.15,15.18,79.66,7.3,65.2,14.3,24.4,1024.0
"Hill, MT",40.6,25.62,18.47,73.89,9.39,58.8,8.3,22.2,1344.4
"Jefferson, MT",36.88,18.48,12.68,80.83,6.44,67.9,12.4,22.0,1005.1
"Judith Basin, MT",39.06,18.35,12.99,79.6,7.65,67.6,13.5,27.6,925.0
"Lake, MT",35.73,24.64,16.97,78.78,8.91,60.0,8.9,20.7,939.7
"Lewis and Clark, MT",36.37,18.73,13.13,80.44,6.75,65.7,9.2,19.9,981.4
"Liberty, MT",41.93,24.04,17.87,68.89,8.5,57.3,12.0,26.1,884.9
"Lincoln, MT",39.48,21.41,16.08,77.88,8.42,61.6,10.3,20.6,920.8
"McCone, MT",42.21,20.65,15.22,78.41,8.72,62.9,6.3,18.8,1059.4
"Madison, MT",35.74,17.78,12.22,79.94,7.16,69.4,14.8,27.2,754.1
"Meagher, MT",37.64,26.6,20.24,73.52,7.76,63.1,14.5,27.2,980.2
"Mineral, MT",39.91,25.88,19.34,75.7,8.53,61.1,14.5,26.7,978.4
"Missoula, MT",35.24,18.47,12.95,82.27,6.41,65.9,9.7,20.9,970.6
"Musselshell, MT",41.16,23.58,17.61,76.85,8.55,58.6,10.1,20.6,1089.9
"Park, MT",37.42,19.54,14.03,78.51,6.88,68.7,13.9,24.2,820.9
"Petroleum, MT",40.21,20.26,15.05,77.81,8.45,65.0,15.4,27.2,1221.4
"Phillips, MT",39.38,23.69,17.42,76.34,8.9,62.6,11.0,27.8,1210.8
"Pondera, MT",38.17,23.64,17.42,75.15,8.8,54.6,7.3,18.3,1002.1
"Powder River, MT",41.9,21.85,16.12,78.44,8.18,62.5,10.1,21.3,1098.8
"Powell, MT",39.78,25.23,18.94,79.23,7.54,63.7,13.1,24.3,995.7
"Prairie, MT",39.57,21.81,16.17,74.48,8.46,61.6,10.7,24.0,913.8
"Ravalli, MT",40.5,20.55,15.18,80.22,7.24,63.0,9.2,18.3,975.7
"Richland, MT",40.81,24.41,18.69,73.36,8.17,59.4,7.9,21.1,1098.1
"Roosevelt, MT",38.98,31.77,22.28,69.85,13.3,49.1,6.6,21.6,1219.5
"Rosebud, MT",37.85,24.29,16.48,72.65,10.01,50.1,8.7,19.7,1080.1
"Sanders, MT",38.83,23.15,17.06,75.78,8.6,62.3,11.2,20.9,937.8
"Sheridan, MT",39.51,21.89,15.75,73.66,8.41,53.9,6.1,20.5,735.1
"Silver Bow, MT",38.76,24.64,18.45,73.37,8.25,63.6,11.2,23.9,1523.2
"Stillwater, MT",39.56,20.79,15.03,78.67,7.67,66.3,12.2,22.8,983.9
"Sweet Grass, MT",36.68,20.21,14.73,77.15,7.5,64.6,8.5,18.8,765.8
"Teton, MT",37.88,19.41,14.06,76.66,7.7,58.9,8.2,21.3,964.7
"Toole, MT",38.22,25.24,19.17,73.12,8.27,66.1,11.7,28.5,1192.3
"Treasure, MT",39.76,21.0,15.05,75.62,7.86,61.5,11.6,23.7,1071.6
"Valley, MT",41.57,24.35,18.19,75.65,8.73,62.3,10.0,25.2,1247.5
"Wheatland, MT",42.3,22.71,16.94,75.03,8.68,59.0,9.4,22.6,1361.2
"Wibaux, MT",41.39,21.22,15.82,71.87,8.69,58.9,8.3,22.0,909.7
"Yellowstone, MT",37.62,21.61,15.48,78.34,7.85,62.4,8.8,19.8,1061.6
"Adams, NE",39.79,20.46,15.89,77.51,8.04,60.0,8.1,20.9,1021.1
"Antelope, NE",40.75,22.09,16.35,78.42,7.84,58.9,8.9,21.8,1060.6
"Arthur, NE",41.96,17.86,12.52,79.17,8.05,55.9,7.0,21.3,872.8
"Banner, NE",40.53,18.52,13.54,79.32,8.64,54.1,7.0,16.9,965.2
"Blaine, NE",43.27,21.74,16.08,77.41,8.48,49.6,6.0,16.2,1110.6
"Boone, NE",39.6,21.11,15.57,79.16,7.31,63.0,9.9,25.2,1108.8
"Box Butte, NE",40.08,22.95,17.46,77.32,9.19,58.6,7.6,20.1,1147.6
"Boyd, NE",38.8,22.97,17.27,76.44,7.6,58.2,8.6,20.9,1306.1
"Brown, NE",39.92,22.56,16.78,75.85,8.19,58.8,8.8,22.0,1084.8
"Buffalo, NE",37.52,18.21,13.55,76.83,7.4,62.2,8.1,21.7,1016.4
"Burt, NE",40.08,21.47,15.89,77.21,8.44,60.3,8.7,22.6,991.5
"Butler, NE",38.84,23.86,17.9,76.21,7.9,67.4,11.8,28.6,964.5
"Cass, NE",41.59,22.06,16.69,77.52,8.16,63.4,9.7,23.2,934.3
"Cedar, NE",41.47,22.15,16.57,80.01,7.94,63.8,10.7,25.9,1053.7
"Chase, NE",39.1,21.44,15.85,75.98,8.26,52.8,7.5,18.0,1035.0
"Cherry, NE",39.75,22.21,16.53,78.86,8.18,58.8,8.2,19.7,956.2
"Cheyenne, NE",39.24,20.44,15.09,80.38,8.01,61.2,8.0,21.8,942.2
