county_state,dbt_total_2012
"Humboldt, IA",8.45
"Ida, IA",8.46
"Iowa, IA",8.35
"Jackson, IA",9.35
"Jasper, IA",9.01
"Jefferson, IA",9.11
"Johnson, IA",7.69
"Jones, IA",8.8
"Keokuk, IA",9.33
"Kossuth, IA",8.13
"Lee, IA",9.82
"Linn, IA",8.67
"Louisa, IA",9.9
"Lucas, IA",9.36
"Lyon, IA",8.1
"Madison, IA",8.51
"Mahaska, IA",9.13
"Marion, IA",8.69
"Marshall, IA",9.65
"Mills, IA",8.61
"Mitchell, IA",8.52
"Monona, IA",8.65
"Monroe, IA",9.41
"Montgomery, IA",9.13
"Muscatine, IA",10.31
"O'Brien, IA",8.02
"Osceola, IA",8.46
"Page, IA",9.48
"Palo Alto, IA",8.36
"Plymouth, IA",8.05
"Pocahontas, IA",8.5
"Polk, IA",8.94
"Pottawattamie, IA",9.76
"Poweshiek, IA",8.38
"Ringgold, IA",9.28
"Sac, IA",8.34
"Scott, IA",8.65
"Shelby, IA",8.39
"Sioux, IA",7.85
"Story, IA",8.22
"Tama, IA",9.58
"Taylor, IA",9.47
"Union, IA",9.16
"Van Buren, IA",9.57
"Wapello, IA",10.18
"Warren, IA",8.72
"Washington, IA",8.78
"Wayne, IA",9.57
"Webster, IA",9.28
"Winnebago, IA",8.15
"Winneshiek, IA",7.29
"Woodbury, IA",9.76
"Worth, IA",8.34
"Wright, IA",8.68
"Allen, KS",10.38
"Anderson, KS",9.85
"Atchison, KS",10.28
"Barber, KS",9.5
"Barton, KS",9.99
"Bourbon, KS",10.05
"Brown, KS",9.84
"Butler, KS",9.67
"Chase, KS",9.62
"Chautauqua, KS",11.03
"Cherokee, KS",11.1
"Cheyenne, KS",7.9
"Clark, KS",8.64
"Clay, KS",8.44
"Cloud, KS",9.12
"Coffey, KS",9.29
"Comanche, KS",8.9
"Cowley, KS",11.57
"Crawford, KS",10.97
"Decatur, KS",8.15
"Dickinson, KS",9.38
"Doniphan, KS",9.64
"Douglas, KS",8.96
"Edwards, KS",9.64
"Elk, KS",10.44
"Ellis, KS",8.38
"Ellsworth, KS",9.22
"Finney, KS",11.41
"Ford, KS",11.79
"Franklin, KS",9.76
"Geary, KS",11.53
"Gove, KS",7.69
"Graham, KS",8.41
"Grant, KS",10.3
"Gray, KS",9.34
"Greeley, KS",7.83
"Greenwood, KS",10.29
"Hamilton, KS",9.37
"Harper, KS",9.85
"Harvey, KS",9.51
"Haskell, KS",9.84
"Hodgeman, KS",8.66
"Jackson, KS",9.44
"Jefferson, KS",8.83
"Jewell, KS",8.81
"Johnson, KS",7.62
"Kearny, KS",9.33
"Kingman, KS",9.98
"Kiowa, KS",9.34
"Labette, KS",10.45
"Lane, KS",8.32
"Leavenworth, KS",10.08
"Lincoln, KS",9.21
"Linn, KS",10.0
"Logan, KS",8.15
"Lyon, KS",11.28
"McPherson, KS",8.79
"Marion, KS",9.33
"Marshall, KS",9.07
"Meade, KS",9.09
"Miami, KS",9.16
"Mitchell, KS",8.32
"Montgomery, KS",11.89
"Morris, KS",9.24
"Morton, KS",9.27
"Nemaha, KS",8.9
"Neosho, KS",10.27
"Ness, KS",8.66
"Norton, KS",8.76
"Osage, KS",9.46
"Osborne, KS",8.83
"Ottawa, KS",8.69
"Pawnee, KS",9.02
"Phillips, KS",8.42
"Pottawatomie, KS",9.12
"Pratt, KS",9.15
"Rawlins, KS",8.12
"Reno, KS",10.11
"Republic, KS",8.2
"Rice, KS",9.68
"Riley, KS",9.33
"Rooks, KS",8.4
"Rush, KS",9.05
"Russell, KS",9.04
"Saline, KS",9.72
"Scott, KS",8.61
"Sedgwick, KS",10.9
"Seward, KS",12.59
"Shawnee, KS",9.95
"Sheridan, KS",8.43
"Sherman, KS",8.84
"Smith, KS",8.17
"Stafford, KS",9.66
"Stanton, KS",9.73
"Stevens, KS",9.62
"Sumner, KS",10.57
"Thomas, KS",8.13
"Trego, KS",7.94
"Wabaunsee, KS",9.06
"Wallace, KS",8.3
"Washington, KS",8.77
"Wichita, KS",9.13
"Wilson, KS",10.35
"Woodson, KS",10.3
"Wyandotte, KS",14.06
"Adair, KY",11.77
"Allen, KY",11.12
"Anderson, KY",10.07
"Ballard, KY",10.43
"Barren, KY",10.64
"Bath, KY",13.35
"Bell, KY",13.61
"Boone, KY",10.52
"Bourbon, KY",12.23
"Boyd, KY",12.18
"Boyle, KY",10.28
"Bracken, KY",11.96
"Breathitt, KY",14.0
"Breckinridge, KY",11.53
"Bullitt, KY",10.85
"Butler, KY",11.63
"Caldwell, KY",10.51
"Calloway, KY",10.15
"Campbell, KY",11.09
"Carlisle, KY",10.41
"Carroll, KY",11.88
"Carter, KY",13.49
"Casey, KY",12.16
"Christian, KY",12.52
"Clark, KY",11.66
"Clay, KY",15.07
"Clinton, KY",12.17
"Crittenden, KY",10.87
"Cumberland, KY",12.18
"Daviess, KY",10.14
"Edmonson, KY",11.0
"Elliott, KY",14.94
"Estill, KY",13.16
"Fayette, KY",10.62
"Fleming, KY",12.21
"Floyd, KY",14.21
"Franklin, KY",11.1
"Fulton, KY",12.71
"Gallatin, KY",11.67
"Garrard, KY",11.19
"Grant, KY",11.43
"Graves, KY",10.47
"Grayson, KY",11.35
"Green, KY",11.55
"Greenup, KY",13.04
"Hancock, KY",10.43
"Hardin, KY",11.3
"Harlan, KY",13.69
"Harrison, KY",11.81
"Hart, KY",12.29
"Henderson, KY",10.98
"Henry, KY",11.12
"Hickman, KY",11.51
"Hopkins, KY",10.53
"Jackson, KY",13.56
"Jefferson, KY",10.73
"Jessamine, KY",10.44
"Johnson, KY",13.4
"Kenton, KY",10.59
"Knott, KY",14.63
"Knox, KY",13.87
