county_state,alc_any_2008,alc_heavy_2008,alc_binge_2008
"Transylvania, NC",49.7,6.4,13.5
"Tyrrell, NC",36.5,5.5,13.0
"Union, NC",49.1,5.8,13.9
"Vance, NC",36.4,4.2,10.9
"Wake, NC",60.6,6.8,15.5
"Warren, NC",38.5,4.6,11.3
"Washington, NC",35.2,4.6,11.5
"Watauga, NC",51.6,7.4,14.1
"Wayne, NC",39.0,4.8,12.2
"Wilkes, NC",30.8,4.0,10.0
"Wilson, NC",40.1,5.0,12.9
"Yadkin, NC",36.0,4.7,11.6
"Yancey, NC",37.0,5.0,10.9
"Adams, ND",64.3,9.0,26.6
"Barnes, ND",67.2,9.1,25.9
"Benson, ND",52.0,14.0,27.7
"Billings, ND",62.8,11.3,27.3
"Bottineau, ND",63.3,9.2,26.1
"Bowman, ND",70.0,10.8,29.8
"Burke, ND",66.8,10.4,30.7
"Burleigh, ND",67.2,7.6,23.0
"Cass, ND",69.2,8.6,23.9
"Cavalier, ND",68.9,11.5,29.6
"Dickey, ND",60.5,8.0,21.7
"Divide, ND",63.6,10.5,28.8
"Dunn, ND",65.2,11.9,29.2
"Eddy, ND",62.0,9.6,26.5
"Emmons, ND",65.5,11.0,28.0
"Foster, ND",64.3,7.4,22.7
"Golden Valley, ND",63.2,9.5,23.1
"Grand Forks, ND",65.3,8.5,23.6
"Grant, ND",60.9,9.1,24.1
"Griggs, ND",61.8,8.5,23.8
"Hettinger, ND",66.9,11.0,29.0
"Kidder, ND",61.5,8.5,26.0
"LaMoure, ND",67.3,10.2,28.3
"Logan, ND",65.2,10.3,28.6
"McHenry, ND",60.7,9.0,26.7
"McIntosh, ND",63.8,9.0,25.7
"McKenzie, ND",56.4,8.6,23.1
"McLean, ND",63.9,9.6,27.5
"Mercer, ND",64.6,8.6,24.9
"Morton, ND",67.6,9.0,25.7
"Mountrail, ND",55.7,11.1,25.6
"Nelson, ND",67.4,10.2,30.7
"Oliver, ND",63.1,9.2,25.4
"Pembina, ND",64.1,9.9,26.1
"Pierce, ND",64.3,9.8,26.4
"Ramsey, ND",65.3,10.0,26.8
"Ransom, ND",66.1,9.5,27.3
"Renville, ND",67.8,9.8,30.3
"Richland, ND",67.9,10.8,26.9
"Rolette, ND",50.1,17.9,29.3
"Sargent, ND",68.9,11.4,31.9
"Sheridan, ND",56.0,6.6,20.0
"Sioux, ND",38.6,17.3,24.6
"Slope, ND",58.4,7.1,19.7
"Stark, ND",67.4,9.4,24.5
"Steele, ND",69.7,11.0,31.5
"Stutsman, ND",63.2,8.0,22.8
"Towner, ND",65.3,11.1,28.6
"Traill, ND",68.7,11.0,30.3
"Walsh, ND",66.1,10.9,29.7
"Ward, ND",63.8,7.9,23.7
"Wells, ND",59.8,7.9,21.3
"Williams, ND",62.6,9.3,26.8
"Adams, OH",36.5,6.6,15.3
"Allen, OH",54.5,7.8,18.0
"Ashland, OH",50.4,6.9,15.7
"Ashtabula, OH",53.6,7.8,17.4
"Athens, OH",49.0,7.6,16.7
"Auglaize, OH",55.0,9.4,20.3
"Belmont, OH",51.6,7.5,18.5
"Brown, OH",44.0,7.5,16.1
"Butler, OH",56.1,7.6,18.1
"Carroll, OH",49.8,7.9,16.8
"Champaign, OH",49.6,6.6,16.6
"Clark, OH",51.5,7.0,17.1
"Clermont, OH",56.9,8.0,17.6
"Clinton, OH",48.0,7.2,16.3
"Columbiana, OH",50.6,7.8,16.9
"Coshocton, OH",47.9,6.9,16.5
"Crawford, OH",50.3,8.4,18.9
"Cuyahoga, OH",61.6,8.1,18.9
"Darke, OH",51.3,7.6,17.7
"Defiance, OH",54.0,7.6,18.8
"Delaware, OH",64.1,8.0,17.4
"Erie, OH",63.5,9.5,21.2
"Fairfield, OH",54.8,8.5,17.6
"Fayette, OH",47.7,6.8,16.1
"Franklin, OH",59.6,8.1,18.0
"Fulton, OH",54.2,8.1,19.1
"Gallia, OH",41.9,6.6,15.2
"Geauga, OH",64.9,8.6,19.0
"Greene, OH",56.6,7.7,17.3
"Guernsey, OH",47.0,6.6,16.0
"Hamilton, OH",63.1,9.4,21.0
"Hancock, OH",56.1,8.2,18.4
"Hardin, OH",48.2,7.9,17.4
"Harrison, OH",48.5,7.6,16.9
"Henry, OH",52.2,7.9,19.0
"Highland, OH",42.9,6.9,15.5
"Hocking, OH",46.4,6.7,15.7
"Holmes, OH",42.4,4.4,12.4
"Huron, OH",55.3,8.9,19.8
"Jackson, OH",39.1,6.7,15.7
"Jefferson, OH",53.0,9.8,19.9
"Knox, OH",51.1,7.1,16.2
"Lake, OH",64.7,9.7,20.4
"Lawrence, OH",42.2,6.1,15.5
"Licking, OH",54.5,8.0,17.3
"Logan, OH",49.0,7.4,17.1
"Lorain, OH",62.8,8.9,20.2
"Lucas, OH",60.1,8.6,20.7
"Madison, OH",49.4,7.0,16.0
"Mahoning, OH",58.6,8.6,19.5
"Marion, OH",46.7,7.8,17.3
"Medina, OH",65.1,9.0,19.7
"Meigs, OH",40.9,7.6,16.2
"Mercer, OH",63.8,12.2,26.0
"Miami, OH",54.6,6.8,17.2
"Monroe, OH",43.6,7.1,16.1
"Montgomery, OH",55.3,8.1,17.6
"Morgan, OH",43.3,7.4,16.0
"Morrow, OH",48.1,6.6,15.3
"Muskingum, OH",48.4,8.2,17.3
"Noble, OH",46.8,8.5,17.4
"Ottawa, OH",61.6,10.3,22.4
"Paulding, OH",53.0,8.9,20.1
"Perry, OH",47.8,7.4,17.2
"Pickaway, OH",47.4,7.3,16.1
"Pike, OH",40.2,7.1,16.1
"Portage, OH",60.9,8.6,18.2
"Preble, OH",48.6,7.6,16.7
"Putnam, OH",63.6,11.8,25.4
"Richland, OH",51.0,6.9,16.2
"Ross, OH",45.0,7.3,16.6
"Sandusky, OH",59.1,9.0,20.4
"Scioto, OH",41.2,6.9,15.5
"Seneca, OH",60.2,10.1,22.1
"Shelby, OH",55.3,8.8,20.6
"Stark, OH",56.0,7.6,17.4
"Summit, OH",62.2,8.2,19.1
"Trumbull, OH",56.3,8.5,19.6
"Tuscarawas, OH",52.4,6.7,16.6
"Union, OH",53.6,7.4,16.6
"Van Wert, OH",52.0,7.3,17.5
"Vinton, OH",40.2,6.9,16.3
"Warren, OH",60.1,7.2,16.8
"Washington, OH",49.0,7.4,16.7
"Wayne, OH",52.8,5.9,15.0
"Williams, OH",51.4,8.0,18.5
"Wood, OH",60.7,8.9,19.9
"Wyandot, OH",53.2,8.7,19.8
"Adair, OK",34.9,5.5,12.5
"Alfalfa, OK",51.9,3.8,15.6
"Atoka, OK",32.3,5.0,11.8
"Beaver, OK",46.2,4.3,14.4
"Beckham, OK",41.8,6.0,14.7
"Blaine, OK",43.9,5.1,14.8
"Bryan, OK",39.5,5.4,12.8
"Caddo, OK",36.3,4.8,13.6
"Canadian, OK",50.6,6.8,16.1
"Carter, OK",42.7,5.1,13.8
"Cherokee, OK",42.6,6.5,14.5
"Choctaw, OK",31.4,4.2,10.8
"Cimarron, OK",44.8,4.2,15.2
"Cleveland, OK",52.1,6.9,15.9
"Coal, OK",36.4,5.1,13.0
"Comanche, OK",48.2,7.2,16.2
"Cotton, OK",37.5,4.0,11.4
"Craig, OK",40.4,5.6,13.3
"Creek, OK",43.4,6.2,14.3
"Custer, OK",44.4,5.3,14.0
"Delaware, OK",42.5,6.8,14.9
"Dewey, OK",41.8,3.3,12.1
"Ellis, OK",46.5,4.3,13.5
"Garfield, OK",49.8,7.0,17.0
"Garvin, OK",37.9,5.0,12.6
"Grady, OK",43.4,5.9,13.6
"Grant, OK",56.6,4.1,16.3
"Greer, OK",37.0,4.9,12.2
"Harmon, OK",27.0,4.5,11.5
"Harper, OK",43.5,4.1,14.5
"Haskell, OK",34.8,5.2,12.2
"Hughes, OK",38.1,5.3,13.2
"Jackson, OK",46.1,5.2,13.5
"Jefferson, OK",33.1,4.0,11.4
"Johnston, OK",36.2,4.9,12.4
"Kay, OK",51.4,5.8,16.6
"Kingfisher, OK",48.8,5.0,16.1
"Kiowa, OK",38.9,4.3,12.8
"Latimer, OK",36.3,5.0,12.1
"Le Flore, OK",35.6,5.5,12.3
"Lincoln, OK",41.5,5.9,14.0
"Logan, OK",48.2,7.0,15.5
"Love, OK",36.1,5.0,13.5
"Major, OK",41.2,4.2,12.9
"Marshall, OK",41.6,5.2,13.7
"Mayes, OK",39.7,5.5,13.4
"McClain, OK",43.8,5.7,14.4
"McCurtain, OK",37.7,5.4,13.3
"McIntosh, OK",42.8,7.0,16.7
"Murray, OK",41.5,5.6,13.7
"Muskogee, OK",41.1,5.4,12.9
"Noble, OK",50.2,4.6,14.4
"Nowata, OK",43.9,5.6,13.7
"Okfuskee, OK",38.0,5.7,13.3
"Oklahoma, OK",52.5,5.9,16.0
"Okmulgee, OK",39.3,5.1,12.8
"Osage, OK",47.6,7.0,15.2
"Ottawa, OK",41.0,6.0,13.9
"Pawnee, OK",40.6,5.7,14.0
"Payne, OK",50.7,6.4,15.6
"Pittsburg, OK",39.3,5.7,13.0
"Pontotoc, OK",41.3,5.5,13.5
"Pottawatomie, OK",41.0,5.4,13.5
"Pushmataha, OK",33.9,5.3,12.5
"Roger Mills, OK",38.3,3.9,12.7
"Rogers, OK",47.8,6.2,14.4
"Seminole, OK",38.2,5.6,14.3
"Sequoyah, OK",40.0,6.3,14.2
"Stephens, OK",41.4,5.5,13.3
"Texas, OK",46.3,5.5,15.8
"Tillman, OK",34.6,3.6,11.4
"Tulsa, OK",53.0,6.3,15.9
"Wagoner, OK",49.4,6.5,14.6
"Washington, OK",45.9,5.6,14.3
"Washita, OK",38.1,5.0,12.7
"Woods, OK",52.7,5.3,16.8
"Woodward, OK",47.9,5.1,15.2
"Baker, OR",54.8,8.4,16.8
"Benton, OR",65.3,9.7,17.6
"Clackamas, OR",61.8,8.6,16.5
"Clatsop, OR",62.8,10.1,19.4
"Columbia, OR",58.4,9.5,17.7
"Coos, OR",54.8,8.8,17.3
"Crook, OR",56.8,9.0,16.5
"Curry, OR",60.0,10.4,17.7
"Deschutes, OR",65.1,9.6,17.3
"Douglas, OR",54.2,8.7,16.2
"Gilliam, OR",65.8,15.2,24.6
"Grant, OR",56.8,10.4,18.2
"Harney, OR",53.5,9.6,16.4
"Hood River, OR",57.1,7.6,16.4
"Jackson, OR",57.6,8.8,16.4
"Jefferson, OR",50.2,7.2,15.2
"Josephine, OR",54.9,9.3,16.2
"Klamath, OR",56.3,8.7,17.0
"Lake, OR",58.2,11.3,18.7
"Lane, OR",60.3,9.2,17.2
"Lincoln, OR",60.1,9.5,17.3
"Linn, OR",55.2,8.0,16.4
"Malheur, OR",42.3,7.0,15.0
"Marion, OR",54.7,6.6,15.1
"Morrow, OR",50.9,7.9,16.8
"Multnomah, OR",63.9,9.9,19.3
"Polk, OR",56.9,7.8,15.5
"Sherman, OR",61.8,12.5,19.1
"Tillamook, OR",58.3,9.4,17.1
"Umatilla, OR",50.9,7.0,16.1
"Union, OR",54.0,8.2,16.4
"Wallowa, OR",58.5,10.2,18.0
"Wasco, OR",55.2,7.9,16.2
"Washington, OR",61.3,7.5,15.7
"Wheeler, OR",58.5,10.8,18.1
"Yamhill, OR",55.2,7.3,15.6
"Adams, PA",54.8,6.9,16.8
"Allegheny, PA",65.6,9.3,22.2
"Armstrong, PA",54.0,7.8,18.8
"Beaver, PA",58.4,7.9,19.8
"Bedford, PA",47.0,6.4,14.3
"Berks, PA",57.9,6.9,18.0
"Blair, PA",54.2,7.3,18.2
"Bradford, PA",54.4,8.8,19.4
"Bucks, PA",66.3,8.0,19.2
"Butler, PA",60.3,7.4,18.4
"Cambria, PA",58.0,9.0,21.8
"Cameron, PA",52.5,8.6,20.4
"Carbon, PA",59.9,8.7,20.3
"Centre, PA",61.6,7.5,17.0
"Chester, PA",67.6,7.6,18.4
"Clarion, PA",54.3,8.2,18.6
"Clearfield, PA",53.3,7.7,19.1
"Clinton, PA",55.0,8.4,19.0
"Columbia, PA",56.4,8.2,18.3
"Crawford, PA",55.0,8.6,18.7
"Cumberland, PA",60.4,6.6,16.6
"Dauphin, PA",57.8,6.7,16.4
"Delaware, PA",65.0,8.1,20.0
"Elk, PA",62.2,10.7,25.7
"Erie, PA",61.2,8.8,21.4
"Fayette, PA",51.7,8.1,19.7
"Forest, PA",52.6,9.1,17.8
"Franklin, PA",52.1,6.6,14.8
"Fulton, PA",49.6,8.0,16.6
"Greene, PA",51.7,7.5,17.1
"Huntingdon, PA",50.6,6.8,15.8
"Indiana, PA",54.6,8.1,18.6
"Jefferson, PA",53.3,8.1,18.9
"Juniata, PA",47.7,6.3,14.7
"Lackawanna, PA",62.9,9.0,21.3
"Lancaster, PA",53.0,5.5,13.5
"Lawrence, PA",54.0,6.9,17.8
"Lebanon, PA",55.7,6.6,16.3
"Lehigh, PA",59.5,6.9,17.7
"Luzerne, PA",61.4,8.9,21.4
"Lycoming, PA",56.4,7.7,18.3
"McKean, PA",54.9,8.6,19.3
"Mercer, PA",55.3,7.4,18.2
"Mifflin, PA",45.5,5.7,13.7
"Monroe, PA",59.2,7.2,16.6
"Montgomery, PA",66.4,7.6,18.6
"Montour, PA",59.6,8.0,18.7
"Northampton, PA",61.5,7.3,18.3
"Northumberland, PA",53.7,7.6,18.4
"Perry, PA",53.0,8.0,17.3
"Philadelphia, PA",54.6,8.2,18.1
"Pike, PA",64.0,8.1,17.8
"Potter, PA",52.9,10.5,21.7
"Schuylkill, PA",56.9,7.9,19.3
"Snyder, PA",52.2,6.5,16.1
"Somerset, PA",49.5,7.1,17.3
"Sullivan, PA",57.5,10.8,20.6
"Susquehanna, PA",58.3,10.5,21.2
"Tioga, PA",55.6,8.9,18.9
"Union, PA",54.2,6.1,15.1
"Venango, PA",54.5,7.5,18.5
"Warren, PA",58.1,9.2,20.4
"Washington, PA",59.7,8.0,19.7
"Wayne, PA",60.3,9.4,20.4
"Westmoreland, PA",60.3,7.9,20.3
"Wyoming, PA",58.8,9.6,20.2
"York, PA",56.2,6.8,16.2
"Bristol, RI",71.7,9.2,21.1
"Kent, RI",67.6,8.8,20.2
"Newport, RI",72.1,11.8,21.8
"Providence, RI",61.2,7.8,18.1
"Rhode, RI",64.9,8.7,19.1
"Washington, RI",71.6,11.0,20.6
"Abbeville, SC",40.5,5.6,13.2
"Aiken, SC",49.4,6.0,13.9
"Allendale, SC",37.1,6.1,14.1
"Anderson, SC",42.2,5.3,12.7
"Bamberg, SC",39.3,5.3,13.1
"Barnwell, SC",35.4,4.6,12.3
"Beaufort, SC",65.8,11.0,19.5
"Berkeley, SC",49.1,6.7,15.7
"Calhoun, SC",44.3,6.0,14.0
"Charleston, SC",62.3,11.1,22.1
"Cherokee, SC",35.2,4.9,12.5
"Chester, SC",37.5,5.0,13.0
"Chesterfield, SC",35.4,4.6,12.0
"Clarendon, SC",36.9,4.8,12.3
"Colleton, SC",43.8,7.4,16.7
"Darlington, SC",37.0,5.1,12.9
"Dillon, SC",32.7,4.8,11.9
"Dorchester, SC",55.8,8.0,17.7
"Edgefield, SC",42.7,4.9,12.3
"Fairfield, SC",38.9,5.0,12.6
"Florence, SC",41.9,6.1,14.1
"Georgetown, SC",50.8,7.8,16.2
"Greenville, SC",49.9,6.5,14.4
"Greenwood, SC",45.3,5.7,13.7
"Hampton, SC",36.7,5.5,13.3
"Horry, SC",56.1,8.7,18.9
"Jasper, SC",42.4,6.1,15.2
"Kershaw, SC",44.0,5.7,14.3
"Lancaster, SC",40.6,4.9,13.2
"Laurens, SC",40.6,5.3,12.8
"Lee, SC",34.4,5.0,12.6
"Lexington, SC",54.2,8.2,17.7
"Marion, SC",36.7,4.8,12.5
"Marlboro, SC",34.9,5.0,12.9
"McCormick, SC",42.3,5.5,12.9
"Newberry, SC",49.3,7.5,16.4
"Oconee, SC",43.5,5.8,12.6
"Orangeburg, SC",40.3,5.5,12.9
"Pickens, SC",43.6,6.4,13.2
"Richland, SC",55.1,7.5,17.7
"Saluda, SC",42.2,5.8,14.3
"Spartanburg, SC",46.4,5.9,14.1
"Sumter, SC",41.7,5.2,13.4
"Union, SC",36.5,4.5,11.7
"Williamsburg, SC",35.1,5.7,12.8
"York, SC",52.1,6.4,15.8
"Aurora, SD",60.7,9.1,22.5
"Beadle, SD",58.4,7.4,21.3
"Bennett, SD",44.0,14.1,22.6
"Bon Homme, SD",60.2,10.3,24.4
"Brookings, SD",61.6,7.8,20.3
"Brown, SD",64.5,7.6,22.1
"Brule, SD",60.4,8.9,21.9
"Buffalo, SD",32.9,15.0,22.2
"Butte, SD",58.0,8.1,20.1
"Campbell, SD",62.3,7.9,22.0
"Charles Mix, SD",52.3,10.4,22.4
"Clark, SD",58.6,8.8,24.6
"Clay, SD",61.7,9.9,23.0
"Codington, SD",64.9,7.9,22.6
"Corson, SD",40.8,13.0,20.5
"Custer, SD",58.9,7.9,19.2
"Davison, SD",62.4,8.5,22.5
"Day, SD",59.3,8.5,23.5
"Deuel, SD",60.6,7.8,22.2
"Dewey, SD",37.6,12.5,20.7
"Douglas, SD",52.9,6.1,16.1
"Edmunds, SD",63.3,9.2,23.3
"Fall River, SD",56.4,8.6,21.5
"Faulk, SD",61.9,10.6,25.8
"Grant, SD",65.3,8.9,23.7
"Gregory, SD",56.9,8.5,20.0
"Haakon, SD",65.7,10.2,24.4
"Hamlin, SD",61.2,9.9,25.1
"Hand, SD",65.1,10.4,26.1
"Hanson, SD",59.9,9.9,23.4
"Harding, SD",67.9,10.4,26.7
"Hughes, SD",65.0,8.0,21.5
"Hutchinson, SD",60.1,8.5,21.3
"Hyde, SD",60.0,9.8,23.9
"Jackson, SD",48.2,12.7,22.3
"Jerauld, SD",58.8,8.4,24.0
"Jones, SD",56.3,6.9,17.9
"Kingsbury, SD",62.5,8.4,25.2
"Lake, SD",63.2,8.9,23.3
"Lawrence, SD",65.6,8.8,21.5
"Lincoln, SD",64.7,7.4,21.0
"Lyman, SD",53.7,11.6,24.4
"Marshall, SD",58.6,8.4,22.2
"McCook, SD",59.6,9.1,22.2
"McPherson, SD",58.0,8.2,23.0
"Meade, SD",61.7,7.8,19.9
"Mellette, SD",41.7,11.4,20.5
"Miner, SD",63.2,9.7,26.5
"Minnehaha, SD",63.1,8.2,21.2
"Moody, SD",60.9,10.1,24.4
"Pennington, SD",60.1,7.1,18.2
"Perkins, SD",58.7,8.0,20.5
"Potter, SD",60.3,8.6,21.0
"Roberts, SD",51.9,9.3,20.6
"Sanborn, SD",64.3,12.8,29.0
"Shannon, SD",31.6,14.7,21.2
"South, SD",60.8,8.5,21.4
"Spink, SD",61.3,9.9,24.9
"Stanley, SD",69.3,11.9,28.3
"Sully, SD",65.2,10.1,25.4
"Todd, SD",36.1,15.0,22.1
"Tripp, SD",61.7,9.9,24.3
"Turner, SD",60.9,8.8,23.5
"Union, SD",63.6,9.2,24.3
"Walworth, SD",64.1,9.1,23.7
"Yankton, SD",64.5,9.1,23.3
"Ziebach, SD",33.4,14.1,19.8
"Anderson, TN",35.4,4.6,11.2
"Bedford, TN",32.2,4.4,10.8
"Benton, TN",29.3,4.1,10.4
"Bledsoe, TN",27.2,4.4,10.1
"Blount, TN",36.8,4.5,12.1
"Bradley, TN",31.0,3.6,10.6
"Campbell, TN",27.0,4.1,10.2
"Cannon, TN",28.4,3.9,10.0
"Carroll, TN",27.9,3.9,10.2
"Carter, TN",27.1,3.4,9.2
"Cheatham, TN",36.6,5.0,12.5
"Chester, TN",29.8,4.1,10.4
"Claiborne, TN",24.1,3.3,8.8
"Clay, TN",29.6,4.9,11.8
"Cocke, TN",26.4,3.4,9.9
"Coffee, TN",36.2,5.3,12.5
"Crockett, TN",27.8,3.9,10.1
"Cumberland, TN",36.0,4.7,11.7
"Davidson, TN",46.6,5.9,15.6
"Decatur, TN",27.1,4.1,9.9
"DeKalb, TN",29.1,4.0,10.4
"Dickson, TN",33.8,4.5,11.5
"Dyer, TN",33.1,4.5,11.5
"Fayette, TN",36.1,5.1,11.4
"Fentress, TN",26.4,4.2,9.6
"Franklin, TN",33.4,4.7,11.3
"Gibson, TN",30.5,4.0,10.6
"Giles, TN",31.2,4.5,11.3
"Grainger, TN",22.3,3.1,8.4
"Greene, TN",29.2,3.8,10.3
"Grundy, TN",26.3,4.5,9.8
"Hamblen, TN",30.4,3.7,10.0
"Hamilton, TN",41.4,5.5,13.4
"Hancock, TN",16.5,2.2,6.8
"Hardeman, TN",27.6,4.0,9.8
"Hardin, TN",30.5,4.6,11.8
"Hawkins, TN",26.2,3.3,8.7
"Haywood, TN",32.3,4.2,11.2
"Henderson, TN",27.3,3.7,9.8
"Henry, TN",35.4,4.8,12.6
"Hickman, TN",27.5,4.0,9.8
"Houston, TN",29.5,4.5,10.5
"Humphreys, TN",32.3,4.3,11.1
"Jackson, TN",27.0,4.5,10.4
"Jefferson, TN",30.2,3.7,10.2
"Johnson, TN",23.4,2.9,7.9
"Knox, TN",42.5,5.4,13.5
"Lake, TN",24.1,4.5,9.8
"Lauderdale, TN",30.3,4.6,11.5
"Lawrence, TN",27.8,3.7,10.0
"Lewis, TN",28.5,3.8,10.2
"Lincoln, TN",30.1,4.2,9.7
"Loudon, TN",36.6,3.9,10.8
"Macon, TN",27.9,4.2,10.2
"Madison, TN",37.2,4.9,12.8
"Marion, TN",31.3,4.6,11.4
"Marshall, TN",30.7,3.8,10.6
"Maury, TN",38.1,4.9,12.4
"McMinn, TN",27.7,3.1,9.3
"McNairy, TN",26.6,3.8,9.8
"Meigs, TN",24.4,3.4,9.1
"Monroe, TN",25.9,3.1,9.6
"Montgomery, TN",42.3,4.8,12.8
"Moore, TN",32.1,5.2,10.7
"Morgan, TN",25.4,3.6,8.8
"Obion, TN",29.7,3.9,10.6
"Overton, TN",28.9,4.4,10.3
"Perry, TN",25.6,3.7,9.7
"Pickett, TN",26.6,3.6,9.0
"Polk, TN",25.7,3.4,9.6
"Putnam, TN",33.8,4.5,11.7
"Rhea, TN",28.9,3.9,10.3
"Roane, TN",31.7,4.0,10.3
"Robertson, TN",35.7,4.5,11.8
"Rutherford, TN",41.8,5.3,12.8
"Scott, TN",26.4,3.4,9.6
"Sequatchie, TN",30.0,4.4,10.9
"Sevier, TN",32.9,3.7,10.7
"Shelby, TN",45.4,6.5,14.3
"Smith, TN",32.0,4.9,11.6
"Stewart, TN",30.5,4.0,10.1
"Sullivan, TN",34.7,4.4,11.3
"Sumner, TN",39.5,5.0,12.4
"Tipton, TN",35.3,5.4,12.1
"Trousdale, TN",32.7,5.1,12.0
"Unicoi, TN",26.6,3.6,9.6
"Union, TN",25.3,3.7,9.1
"Van Buren, TN",29.3,4.7,10.9
"Warren, TN",27.1,3.4,9.4
"Washington, TN",37.0,4.3,11.7
"Wayne, TN",26.6,4.4,10.5
"Weakley, TN",29.7,3.8,10.5
"White, TN",27.4,3.8,9.7
"Williamson, TN",52.0,6.4,14.2
"Wilson, TN",40.2,4.9,12.2
"Anderson, TX",44.9,6.8,14.8
"Andrews, TX",43.0,5.5,14.4
"Angelina, TX",42.6,5.7,13.4
"Aransas, TX",56.2,8.7,19.3
"Archer, TX",44.4,6.4,15.1
"Armstrong, TX",43.9,3.7,11.8
"Atascosa, TX",48.0,7.7,19.5
"Austin, TX",55.8,7.3,18.7
"Bailey, TX",41.7,5.0,14.5
"Bandera, TX",55.1,8.6,19.6
"Bastrop, TX",53.2,8.2,17.7
"Baylor, TX",40.9,5.0,13.5
"Bee, TX",49.5,8.4,20.8
"Bell, TX",52.8,7.7,16.1
"Bexar, TX",57.1,8.0,19.7
"Blanco, TX",55.5,7.7,18.8
"Borden, TX",36.1,6.5,13.1
"Bosque, TX",51.6,7.0,17.8
"Bowie, TX",43.0,5.7,12.7
"Brazoria, TX",53.0,6.9,15.9
"Brazos, TX",53.5,7.6,16.8
"Brewster, TX",56.2,11.0,22.8
"Briscoe, TX",40.8,6.2,16.3
"Brooks, TX",44.1,7.0,20.6
"Brown, TX",43.1,5.9,14.3
"Burleson, TX",48.2,6.6,16.1
"Burnet, TX",52.6,7.2,16.4
"Caldwell, TX",50.8,6.9,17.3
"Calhoun, TX",48.4,6.6,17.6
"Callahan, TX",44.6,6.1,13.6
"Cameron, TX",46.3,6.9,17.9
"Camp, TX",44.0,6.0,15.4
"Carson, TX",44.9,5.0,14.1
"Cass, TX",38.7,5.4,12.8
"Castro, TX",45.6,7.9,19.3
"Chambers, TX",53.6,7.5,16.6
"Cherokee, TX",41.4,5.7,13.7
"Childress, TX",47.2,6.8,15.5
"Clay, TX",42.6,5.3,12.7
"Cochran, TX",32.8,4.4,13.1
"Coke, TX",39.4,4.9,13.6
"Coleman, TX",46.8,6.6,16.4
"Collin, TX",61.3,7.1,16.0
"Collingsworth, TX",30.9,2.8,10.6
"Colorado, TX",54.5,7.6,18.9
"Comal, TX",60.4,8.7,19.4
"Comanche, TX",42.4,5.3,13.8
"Concho, TX",41.5,6.4,16.1
"Cooke, TX",50.7,7.4,16.9
"Coryell, TX",49.6,7.2,15.1
"Cottle, TX",38.8,5.9,13.2
"Crane, TX",45.7,5.7,14.7
"Crockett, TX",49.4,6.7,19.1
"Crosby, TX",36.6,4.7,14.6
"Culberson, TX",38.1,6.4,17.0
"Dallam, TX",44.6,7.1,16.9
"Dallas, TX",53.8,6.8,16.7
"Dawson, TX",38.5,4.9,13.7
"Deaf Smith, TX",44.2,6.0,17.5
"Delta, TX",38.8,4.9,12.3
"Denton, TX",58.1,7.4,16.0
"DeWitt, TX",52.4,7.7,18.4
"Dickens, TX",35.4,4.8,13.5
"Dimmit, TX",45.2,7.9,22.8
"Donley, TX",41.6,5.6,13.2
"Duval, TX",42.9,6.9,19.7
"Eastland, TX",40.3,6.4,14.4
"Ector, TX",44.5,7.2,17.3
"Edwards, TX",42.7,5.0,16.3
"El Paso, TX",49.6,7.4,19.6
"Ellis, TX",50.6,6.3,15.1
"Erath, TX",47.0,5.8,14.7
"Falls, TX",44.6,6.1,14.8
"Fannin, TX",41.8,5.4,13.2
"Fayette, TX",58.7,7.2,20.0
"Fisher, TX",36.6,4.1,12.5
"Floyd, TX",42.4,3.6,13.4
"Foard, TX",34.3,3.7,11.4
"Fort Bend, TX",58.4,7.0,16.2
"Franklin, TX",47.8,6.3,15.2
"Freestone, TX",46.5,5.9,13.8
"Frio, TX",46.2,7.0,19.3
"Gaines, TX",35.8,4.8,12.6
"Galveston, TX",58.6,8.5,18.9
"Garza, TX",44.4,6.1,16.3
"Gillespie, TX",64.5,8.9,21.1
"Glasscock, TX",49.6,6.8,17.8
"Goliad, TX",55.9,8.7,20.1
"Gonzales, TX",45.7,6.0,16.5
"Gray, TX",41.2,6.2,14.3
"Grayson, TX",48.7,6.5,15.3
"Gregg, TX",48.2,6.3,14.8
"Grimes, TX",48.8,8.0,17.2
"Guadalupe, TX",56.2,7.8,17.7
"Hale, TX",38.7,5.5,15.2
"Hall, TX",37.6,4.6,13.9
"Hamilton, TX",48.1,6.4,15.3
"Hansford, TX",47.9,3.8,14.3
"Hardeman, TX",36.8,3.4,12.0
"Hardin, TX",45.6,6.7,14.5
"Harris, TX",55.3,7.2,16.5
"Harrison, TX",43.7,6.3,13.7
"Hartley, TX",45.3,6.3,14.4
"Haskell, TX",35.6,5.2,13.2
"Hays, TX",61.1,8.8,19.6
"Hemphill, TX",43.9,4.4,12.0
"Henderson, TX",48.2,7.0,15.7
"Hidalgo, TX",44.6,6.6,17.7
"Hill, TX",46.0,6.4,15.3
"Hockley, TX",39.1,5.1,13.5
"Hood, TX",57.5,6.8,16.1
"Hopkins, TX",44.3,6.0,14.0
"Houston, TX",42.0,5.8,13.2
"Howard, TX",44.2,6.4,15.6
"Hudspeth, TX",38.3,5.8,16.6
"Hunt, TX",45.8,6.2,14.2
"Hutchinson, TX",41.0,5.7,14.4
