county_state,alc_any_2008,alc_heavy_2008,alc_binge_2008
"Laurens, GA",36.8,5.6,12.6
"Lee, GA",46.4,6.5,14.3
"Liberty, GA",45.4,6.2,15.0
"Lincoln, GA",37.6,5.2,11.7
"Long, GA",35.4,5.1,12.3
"Lowndes, GA",45.9,7.3,14.8
"Lumpkin, GA",47.0,6.2,13.9
"Macon, GA",37.4,5.8,13.3
"Madison, GA",37.6,5.3,12.0
"Marion, GA",36.5,6.0,13.0
"McDuffie, GA",38.7,5.3,12.9
"McIntosh, GA",43.5,7.2,16.5
"Meriwether, GA",39.0,5.7,13.3
"Miller, GA",39.0,7.4,13.3
"Mitchell, GA",34.4,5.5,11.9
"Monroe, GA",43.4,5.8,13.0
"Montgomery, GA",32.6,5.2,11.5
"Morgan, GA",46.5,7.1,14.5
"Murray, GA",32.7,4.7,12.0
"Muscogee, GA",48.9,7.9,15.6
"Newton, GA",44.5,5.6,13.6
"Oconee, GA",54.1,6.5,13.9
"Oglethorpe, GA",39.9,5.3,12.2
"Paulding, GA",46.8,5.8,14.3
"Peach, GA",42.2,5.7,13.2
"Pickens, GA",49.9,7.0,15.1
"Pierce, GA",32.0,5.4,12.1
"Pike, GA",38.7,5.4,12.6
"Polk, GA",34.5,4.8,11.8
"Pulaski, GA",37.4,6.5,13.7
"Putnam, GA",45.1,5.6,13.4
"Quitman, GA",34.1,4.9,11.4
"Rabun, GA",47.3,6.8,13.7
"Randolph, GA",33.9,4.8,11.1
"Richmond, GA",47.5,6.5,14.5
"Rockdale, GA",47.3,5.6,13.8
"Schley, GA",40.1,7.0,14.6
"Screven, GA",39.6,6.0,13.8
"Seminole, GA",41.2,8.1,15.3
"Spalding, GA",41.6,5.9,13.4
"Stephens, GA",37.0,5.0,11.3
"Stewart, GA",33.1,4.8,11.7
"Sumter, GA",37.5,5.6,12.3
"Talbot, GA",35.9,5.4,11.6
"Taliaferro, GA",30.1,4.1,10.0
"Tattnall, GA",35.0,5.5,12.8
"Taylor, GA",30.9,4.6,10.7
"Telfair, GA",32.1,5.5,12.9
"Terrell, GA",35.0,5.5,11.8
"Thomas, GA",42.1,6.8,13.5
"Tift, GA",36.6,5.3,11.9
"Toombs, GA",33.7,5.0,11.6
"Towns, GA",44.3,6.2,12.8
"Treutlen, GA",32.3,4.5,11.2
"Troup, GA",43.9,6.2,14.4
"Turner, GA",29.8,4.6,10.6
"Twiggs, GA",29.4,4.5,10.7
"Union, GA",42.0,5.1,11.0
"Upson, GA",34.8,4.7,11.6
"Walker, GA",34.0,4.7,11.8
"Walton, GA",43.3,5.6,12.9
"Ware, GA",36.5,5.9,12.7
"Warren, GA",29.5,4.2,10.6
"Washington, GA",37.8,5.4,12.8
"Wayne, GA",33.8,5.4,12.4
"Webster, GA",33.5,5.0,11.2
"Wheeler, GA",28.8,5.0,10.9
"White, GA",47.8,6.9,14.2
"Whitfield, GA",36.2,4.8,13.2
"Wilcox, GA",26.9,4.4,9.8
"Wilkes, GA",39.6,5.6,13.2
"Wilkinson, GA",34.1,4.8,11.4
"Worth, GA",35.7,5.7,12.3
"Hawaii, HI",55.3,11.5,20.6
"Honolulu, HI",49.9,8.8,19.3
"Kalawao County, Maui, HI",55.4,12.4,22.0
"Kauai, HI",53.7,11.1,19.7
"Ada, ID",61.5,7.8,16.8
"Adams, ID",65.1,11.7,20.4
"Bannock, ID",40.4,5.9,13.7
"Bear Lake, ID",20.1,3.5,7.5
"Benewah, ID",62.0,11.3,21.3
"Bingham, ID",29.7,4.7,11.0
"Blaine, ID",69.8,12.3,22.0
"Boise, ID",61.3,10.3,18.4
"Bonner, ID",65.8,12.1,20.3
"Bonneville, ID",38.1,5.2,10.8
"Boundary, ID",59.9,9.6,18.4
"Butte, ID",33.0,5.6,12.1
"Camas, ID",59.4,10.7,18.2
"Canyon, ID",49.4,7.4,15.1
"Caribou, ID",26.6,4.5,9.7
"Cassia, ID",28.8,4.9,11.7
"Clark, ID",41.1,6.7,15.1
