county_state,cig_total_2012,cig_daily_2012,alc_any_2012,alc_heavy_2012,alc_binge_2012,hd_deaths_per100k_over65
"Park, CO",20.05,13.37,70.2,14.6,22.7,668.3
"Phillips, CO",20.76,14.65,50.8,7.1,15.6,891.4
"Pitkin, CO",13.55,8.48,78.0,17.6,26.5,325.7
"Prowers, CO",21.55,15.22,50.8,7.5,18.1,790.2
"Pueblo, CO",22.98,15.77,55.5,8.2,18.7,777.7
"Rio Blanco, CO",18.34,13.16,61.3,11.2,21.8,884.3
"Rio Grande, CO",19.34,12.78,54.2,8.8,19.9,912.0
"Routt, CO",14.7,9.75,76.7,14.6,24.4,399.7
"Saguache, CO",21.47,14.12,51.1,8.8,18.9,682.3
"San Juan, CO",19.82,13.44,68.5,16.1,31.3,781.7
"San Miguel, CO",12.74,8.06,76.4,18.9,29.1,338.0
"Sedgwick, CO",22.87,16.57,51.1,7.9,17.7,1089.7
"Summit, CO",14.36,9.29,78.6,18.6,28.7,272.4
"Teller, CO",23.17,16.52,65.6,11.8,21.2,835.1
"Washington, CO",21.6,15.48,58.4,8.1,17.8,794.8
"Yuma, CO",21.13,15.21,58.9,8.4,19.9,817.0
"Fairfield, CT",14.91,9.51,67.2,8.9,19.7,891.9
"Hartford, CT",17.9,12.47,63.9,7.6,18.3,954.1
"Litchfield, CT",19.21,13.57,68.1,10.8,21.6,947.6
"Middlesex, CT",17.35,12.36,69.6,10.8,21.0,946.4
"New Haven, CT",19.12,13.39,62.7,7.8,18.2,947.0
"New London, CT",18.83,13.24,66.2,9.6,19.6,929.0
"Tolland, CT",16.22,11.64,69.1,10.0,20.7,1028.9
"Windham, CT",21.11,15.63,61.2,8.5,18.7,1076.9
"Kent, DE",24.44,18.4,52.1,7.4,17.5,1079.0
"New Castle, DE",19.85,14.16,60.7,9.7,20.9,945.4
"Sussex, DE",24.56,18.61,56.5,9.5,20.9,1045.6
"Alachua, FL",16.72,11.16,60.2,10.1,17.3,754.9
"Baker, FL",28.03,21.74,42.1,6.8,14.6,1101.1
"Bay, FL",24.22,18.55,53.5,10.3,19.6,1112.3
"Bradford, FL",26.99,20.51,41.1,7.3,14.4,1066.7
"Brevard, FL",23.43,17.17,60.4,11.7,20.5,1008.2
"Broward, FL",17.68,11.14,58.2,7.4,16.8,897.2
"Calhoun, FL",28.7,21.71,40.2,7.5,15.1,1111.9
"Charlotte, FL",24.39,18.3,64.4,11.4,20.3,675.5
"Citrus, FL",26.54,20.61,59.8,10.1,19.6,1201.9
"Clay, FL",20.45,14.83,56.5,8.8,16.9,920.4
"Collier, FL",19.07,12.58,65.4,9.3,18.7,542.8
"Columbia, FL",27.9,20.9,44.4,7.1,14.6,950.0
"DeSoto, FL",28.03,19.72,45.8,7.6,15.6,633.9
"Dixie, FL",29.22,22.27,42.1,8.0,15.6,1010.8
"Duval, FL",21.79,15.15,52.1,8.1,16.2,999.9
"Escambia, FL",23.06,17.04,53.5,10.1,17.3,1045.5
"Flagler, FL",24.14,17.9,61.5,9.7,19.5,898.3
"Franklin, FL",27.43,20.12,57.2,16.2,23.7,1101.7
"Gadsden, FL",24.04,15.82,43.7,7.3,14.5,877.9
"Gilchrist, FL",26.75,20.3,41.3,6.8,13.9,928.9
"Glades, FL",26.92,19.1,44.3,6.9,13.8,702.3
"Gulf, FL",27.71,20.49,46.4,10.7,18.6,1105.7
"Hamilton, FL",29.37,21.05,40.1,7.2,14.5,1214.7
"Hardee, FL",25.26,18.25,38.6,5.8,13.2,861.1
"Hendry, FL",23.55,15.92,44.3,5.9,15.2,1040.6
