county_state,cig_total_2012,cig_daily_2012,alc_any_2012,alc_heavy_2012,alc_binge_2012,hd_deaths_per100k_over65
"Ionia, MI",25.24,19.25,55.9,9.9,21.9,1132.2
"Iosco, MI",28.1,21.35,57.6,10.6,23.9,1493.8
"Iron, MI",25.08,18.87,65.0,15.6,30.1,1202.8
"Isabella, MI",22.71,16.55,57.8,9.8,22.2,1172.9
"Jackson, MI",24.65,18.17,55.8,9.1,21.1,1395.9
"Kalamazoo, MI",19.58,14.31,61.9,8.3,19.9,1058.3
"Kalkaska, MI",26.48,20.19,55.6,10.6,22.6,1404.4
"Kent, MI",20.23,14.28,63.5,8.1,20.0,1106.6
"Keweenaw, MI",21.35,15.37,62.4,16.4,28.8,1111.0
"Lake, MI",29.7,22.51,49.2,10.6,22.0,1096.0
"Lapeer, MI",25.99,18.9,56.2,9.6,21.8,1357.2
"Leelanau, MI",16.7,11.37,67.2,10.8,24.2,925.8
"Lenawee, MI",23.24,17.31,54.2,9.0,19.7,1394.8
"Livingston, MI",19.16,13.63,65.3,10.4,22.4,1274.3
"Luce, MI",26.69,19.67,55.9,11.2,23.9,1090.0
"Mackinac, MI",25.16,18.18,63.7,11.6,29.5,1111.0
"Macomb, MI",25.44,18.55,62.5,9.4,23.5,1285.6
"Manistee, MI",23.98,17.63,58.8,11.0,24.4,1021.2
"Marquette, MI",20.93,14.98,65.7,14.2,28.0,1105.8
"Mason, MI",22.69,16.98,58.2,10.1,23.1,1068.6
"Mecosta, MI",23.76,17.29,57.0,10.7,22.7,1234.4
"Menominee, MI",25.47,19.65,63.9,13.6,28.2,1244.4
"Midland, MI",19.59,14.18,60.4,9.6,22.0,962.1
"Missaukee, MI",24.29,18.17,53.4,8.6,20.9,1118.0
"Monroe, MI",24.64,18.83,60.9,9.6,21.6,1266.5
"Montcalm, MI",27.39,20.85,53.6,10.0,21.9,1139.8
"Montmorency, MI",27.97,21.38,53.0,10.8,22.7,1496.9
"Muskegon, MI",27.17,20.7,56.1,9.1,21.7,1021.6
"Newaygo, MI",26.09,20.04,53.1,9.0,20.3,1096.1
"Oakland, MI",18.38,12.17,63.7,8.7,19.8,1229.7
"Oceana, MI",24.1,18.1,54.6,10.6,23.8,1046.5
"Ogemaw, MI",27.74,20.75,55.5,11.6,24.2,1480.7
"Ontonagon, MI",23.16,17.36,63.6,19.3,33.3,1242.2
"Osceola, MI",25.17,19.22,51.7,8.7,20.7,1122.8
"Oscoda, MI",27.68,20.9,53.2,10.7,23.0,1228.9
"Otsego, MI",24.39,18.52,62.5,13.1,25.6,1083.0
"Ottawa, MI",19.12,13.78,62.5,8.7,21.4,985.5
"Presque Isle, MI",24.49,18.48,61.8,12.2,27.0,1290.8
"Roscommon, MI",26.99,20.15,58.4,11.5,24.6,1329.6
"Saginaw, MI",24.7,17.61,59.2,9.0,22.3,1087.9
"St. Clair, MI",28.0,20.98,59.5,10.3,25.6,1447.0
"St. Joseph, MI",25.81,19.7,53.2,8.8,20.2,1224.4
"Sanilac, MI",27.5,20.87,55.6,10.5,24.1,1438.7
"Schoolcraft, MI",27.26,20.72,61.8,14.9,30.1,1051.6
"Shiawassee, MI",25.65,19.74,57.1,10.4,22.1,1312.5
"Tuscola, MI",26.56,19.95,53.5,9.2,21.6,1328.3
"Van Buren, MI",24.99,18.33,54.3,8.9,20.5,1331.7
"Washtenaw, MI",14.85,9.62,66.6,9.2,18.7,1078.4
"Wayne, MI",25.61,18.18,54.9,7.5,18.9,1417.3
"Wexford, MI",24.87,19.11,54.0,10.0,21.6,1005.0
"Aitkin, MN",24.53,17.66,59.1,10.6,25.3,879.1
"Anoka, MN",20.27,14.86,66.3,9.4,23.9,679.3
"Becker, MN",21.47,15.92,61.8,9.5,23.6,843.2
"Beltrami, MN",23.86,16.22,57.5,9.9,23.3,718.7
"Benton, MN",19.71,14.6,64.7,9.8,24.0,855.4
"Big Stone, MN",22.2,16.51,60.4,9.2,23.1,1106.9
"Blue Earth, MN",20.11,14.15,66.6,10.3,24.6,853.7
"Brown, MN",23.37,17.35,67.8,10.7,26.9,757.4
"Carlton, MN",23.99,17.27,62.6,11.1,26.3,953.1
"Carver, MN",15.04,9.8,71.8,9.8,24.3,677.6
"Cass, MN",23.24,16.22,57.4,9.4,22.2,709.5
"Chippewa, MN",22.73,17.21,64.0,8.1,24.4,910.9
"Chisago, MN",22.94,16.49,63.0,9.9,23.6,970.0
"Clay, MN",18.63,13.61,65.4,9.4,25.3,880.3
"Clearwater, MN",25.25,18.75,52.6,8.6,23.6,935.8
"Cook, MN",17.66,12.07,57.2,9.8,21.7,542.5
"Cottonwood, MN",22.38,16.62,60.6,8.7,22.4,908.3
"Crow Wing, MN",20.9,14.3,63.9,9.6,24.3,739.2
"Dakota, MN",17.2,11.76,69.3,9.7,23.6,662.2
"Dodge, MN",19.19,13.92,63.9,9.1,24.0,1065.7
"Douglas, MN",19.24,13.77,67.0,8.8,22.4,886.0
"Faribault, MN",22.45,16.22,63.9,10.9,27.1,1111.8
"Fillmore, MN",19.89,14.78,61.8,9.1,23.9,1006.6
"Freeborn, MN",24.22,17.83,60.9,9.0,24.9,910.0
"Goodhue, MN",20.23,14.82,66.7,9.9,25.3,1000.7
"Grant, MN",21.5,15.66,61.8,8.3,23.0,909.6
"Hennepin, MN",17.28,11.4,69.6,10.6,23.0,655.3
"Houston, MN",19.26,14.48,68.0,10.5,27.0,983.4
"Hubbard, MN",22.16,16.19,60.9,9.3,24.4,727.4
"Isanti, MN",23.24,17.38,62.0,10.0,24.3,853.7
"Itasca, MN",23.73,16.99,60.9,9.7,24.0,844.1
"Jackson, MN",21.25,15.74,61.0,8.9,21.4,1007.7
"Kanabec, MN",24.85,18.45,55.0,9.0,22.8,921.0
"Kandiyohi, MN",19.96,14.54,61.0,6.9,19.7,757.0
"Kittson, MN",20.4,14.57,58.2,7.3,20.6,929.1
"Koochiching, MN",25.92,19.04,61.5,10.7,26.6,829.3
"Lac qui Parle, MN",21.48,15.85,62.3,9.0,23.9,935.9
"Lake, MN",22.02,16.27,62.1,9.8,25.0,695.4
"Lake of the Woods, MN",24.02,17.35,57.5,8.5,21.6,1039.6
"Le Sueur, MN",20.35,14.82,63.8,10.4,25.3,870.5
"Lincoln, MN",20.6,15.0,61.6,10.3,24.2,952.5
"Lyon, MN",19.59,13.82,63.0,10.1,23.4,782.5
"McLeod, MN",21.86,15.74,63.3,7.9,20.7,891.6
"Mahnomen, MN",28.03,19.87,52.5,13.2,25.9,900.2
"Marshall, MN",21.55,15.7,62.3,9.4,28.2,880.3
"Martin, MN",22.36,16.47,61.2,8.9,22.8,987.9
"Meeker, MN",21.23,15.59,61.7,9.2,23.6,952.2
"Mille Lacs, MN",23.58,17.1,58.7,9.4,23.6,902.7
"Morrison, MN",21.2,15.34,67.7,12.5,30.6,717.5
"Mower, MN",21.98,16.27,62.8,9.7,24.9,1001.3
"Murray, MN",21.18,15.52,62.7,10.8,25.1,801.9
"Nicollet, MN",18.9,13.01,69.9,10.1,24.7,791.7
"Nobles, MN",22.58,16.52,57.2,8.7,20.2,850.0
"Norman, MN",22.74,16.99,60.6,9.0,25.5,899.0
"Olmsted, MN",17.13,11.71,65.6,9.3,21.3,889.0
"Otter Tail, MN",20.21,15.0,64.3,9.0,23.3,932.2
"Pennington, MN",25.47,19.28,61.3,7.2,22.4,1107.7
"Pine, MN",26.34,19.49,56.6,10.7,24.0,886.9
"Pipestone, MN",22.9,17.11,57.1,8.1,19.9,977.5
"Polk, MN",20.84,15.52,63.1,8.8,24.0,1005.2
"Pope, MN",19.86,14.35,66.0,10.1,26.8,780.9
"Ramsey, MN",19.51,13.22,67.2,10.0,21.9,701.2
"Red Lake, MN",23.87,17.95,63.2,10.3,28.3,1037.7
"Redwood, MN",23.21,17.18,62.8,10.3,24.7,875.6
"Renville, MN",22.12,16.03,61.8,10.3,25.1,783.9
"Rice, MN",18.88,13.48,65.2,9.4,23.9,911.2
"Rock, MN",21.87,16.5,62.0,8.4,21.9,980.0
"Roseau, MN",23.05,16.81,61.9,9.6,24.0,1132.1
"St. Louis, MN",22.83,15.86,63.0,11.5,26.7,840.1
"Scott, MN",15.37,10.77,69.8,10.0,24.8,685.7
"Sherburne, MN",20.91,15.54,65.6,9.0,22.7,722.0
"Sibley, MN",21.38,15.18,62.7,9.7,23.6,780.0
"Stearns, MN",18.48,13.51,68.3,10.4,25.4,671.3
"Steele, MN",19.57,13.96,65.7,9.6,24.6,929.8
"Stevens, MN",19.0,13.5,66.4,8.8,23.6,940.0
"Swift, MN",22.26,16.75,63.9,9.4,24.8,862.6
"Todd, MN",21.91,16.27,62.2,9.4,22.7,740.8
"Traverse, MN",20.91,15.23,62.5,9.6,23.5,1111.5
"Wabasha, MN",20.45,15.0,69.2,11.6,25.7,934.9
"Wadena, MN",23.57,18.0,58.7,8.6,21.9,920.2
"Waseca, MN",21.91,15.99,63.2,9.4,24.6,922.7
"Washington, MN",16.64,11.59,72.1,9.4,23.4,691.7
"Watonwan, MN",22.49,16.15,56.5,7.8,20.3,879.0
"Wilkin, MN",22.43,17.24,69.2,11.0,29.1,1046.0
"Winona, MN",19.52,14.07,69.5,11.7,27.3,968.9
"Wright, MN",20.3,14.55,65.5,9.0,22.9,864.9
"Yellow Medicine, MN",21.59,15.86,60.4,8.3,21.9,909.1
"Adams, MS",25.36,17.42,48.1,6.6,16.5,1163.7
"Alcorn, MS",25.73,19.14,31.9,4.1,9.7,1516.1
"Amite, MS",27.3,19.48,33.7,5.2,11.3,1597.4
"Attala, MS",24.32,17.09,35.5,4.8,11.0,1278.1
"Benton, MS",26.92,20.06,27.9,3.8,9.0,1166.8
"Bolivar, MS",23.75,15.76,45.8,7.0,14.6,1417.6
"Calhoun, MS",27.32,20.02,29.0,3.7,9.3,1235.4
"Carroll, MS",25.82,18.58,38.5,6.0,11.8,1295.0
"Chickasaw, MS",26.65,18.85,30.7,3.7,9.7,1267.3
"Choctaw, MS",23.8,16.88,33.1,4.7,10.1,1115.4
"Claiborne, MS",24.15,15.08,46.0,7.9,15.9,1728.7
"Clarke, MS",25.88,19.24,32.3,4.2,10.1,1573.7
"Clay, MS",24.47,16.13,39.2,4.5,12.2,1188.0
"Coahoma, MS",25.3,17.27,46.5,6.5,14.8,1179.3
"Copiah, MS",27.18,18.99,36.5,5.1,11.2,1386.7
"Covington, MS",26.46,18.71,34.2,5.2,10.9,1544.2
"DeSoto, MS",24.13,17.91,50.1,6.4,15.1,1242.5
"Forrest, MS",23.29,16.83,45.2,7.1,15.3,1199.8
"Franklin, MS",25.97,19.13,34.7,4.7,10.9,1354.5
"George, MS",26.24,19.94,32.2,5.1,10.9,1936.2
"Greene, MS",27.8,20.61,31.9,5.9,11.6,1608.5
"Grenada, MS",26.82,19.4,40.4,6.2,13.1,1380.6
"Hancock, MS",25.54,19.22,53.0,9.4,18.0,1226.6
"Harrison, MS",26.44,19.24,55.6,9.1,18.5,1538.8
"Hinds, MS",22.81,15.61,50.7,6.6,15.4,1182.9
"Holmes, MS",25.54,17.14,36.8,6.2,13.5,1250.6
"Humphreys, MS",26.51,18.65,38.4,6.1,13.5,1627.7
"Issaquena, MS",29.82,20.94,34.0,6.4,12.1,1173.9
"Itawamba, MS",25.64,19.52,34.0,5.1,10.9,1483.3
"Jackson, MS",25.4,18.4,49.9,8.8,17.8,1193.9
"Jasper, MS",24.44,17.18,35.0,5.0,10.8,1291.2
"Jefferson, MS",24.38,15.22,41.0,7.2,13.5,1364.3
"Jefferson Davis, MS",25.18,16.16,35.8,5.4,12.3,1233.2
"Jones, MS",24.81,18.12,34.7,5.0,11.8,1369.8
"Kemper, MS",26.16,18.31,39.3,7.2,13.0,1111.5
"Lafayette, MS",18.27,12.99,52.1,9.4,17.3,1457.7
"Lamar, MS",19.62,13.88,44.9,5.9,12.4,1187.3
"Lauderdale, MS",26.21,18.75,41.6,5.6,12.3,1386.3
"Lawrence, MS",26.12,18.08,33.2,4.2,10.7,1807.8
"Leake, MS",27.4,19.8,32.9,4.8,10.7,1176.1
"Lee, MS",25.47,18.34,41.5,6.1,12.7,1098.5
"Leflore, MS",25.96,18.31,41.2,6.9,14.6,1590.5
"Lincoln, MS",26.1,18.8,35.0,4.3,10.5,1450.8
"Lowndes, MS",23.36,15.89,41.6,5.1,12.3,1200.1
"Madison, MS",16.81,11.01,55.8,7.9,15.1,1408.0
"Marion, MS",26.54,19.41,35.6,4.8,11.5,1304.7
"Marshall, MS",28.65,21.18,38.5,6.3,13.2,1170.0
"Monroe, MS",26.61,19.26,37.1,5.3,12.0,1139.8
"Montgomery, MS",27.02,19.2,37.7,5.4,12.4,1366.4
"Neshoba, MS",28.74,22.01,35.9,5.5,10.2,2051.2
"Newton, MS",24.88,18.74,33.4,4.3,9.8,1337.9
"Noxubee, MS",26.91,17.93,38.0,6.3,13.5,1635.1
"Oktibbeha, MS",16.26,10.02,47.2,6.9,14.7,959.5
"Panola, MS",26.25,19.24,40.0,6.7,14.2,1799.7
"Pearl River, MS",26.98,21.16,39.1,5.0,11.5,1300.8
"Perry, MS",27.54,20.95,31.5,5.2,11.5,1145.8
"Pike, MS",25.67,17.97,38.5,5.3,13.0,1325.8
"Pontotoc, MS",28.01,21.08,32.3,4.6,10.4,1125.6
"Prentiss, MS",27.95,21.63,29.5,4.3,9.6,1437.6
"Quitman, MS",27.65,19.53,37.7,6.8,13.2,1522.8
"Rankin, MS",22.91,16.45,46.6,5.6,12.6,909.3
"Scott, MS",27.86,20.5,34.5,4.8,11.3,1535.8
"Sharkey, MS",23.03,15.16,36.8,6.2,12.5,1086.5
"Simpson, MS",26.8,19.09,30.0,3.9,9.6,1433.0
"Smith, MS",25.41,18.81,31.9,5.4,11.2,1138.5
"Stone, MS",26.21,19.65,37.9,6.1,11.9,1460.5
"Sunflower, MS",26.38,18.47,40.2,6.5,13.9,1302.1
"Tallahatchie, MS",28.74,21.13,35.5,5.9,13.0,1074.4
"Tate, MS",24.44,18.43,38.5,5.2,11.3,1542.1
"Tippah, MS",28.1,21.84,29.9,4.1,9.6,1462.0
"Tishomingo, MS",27.1,20.62,31.5,4.6,10.2,1893.0
"Tunica, MS",25.74,17.16,41.1,6.2,14.0,2034.9
"Union, MS",27.61,21.68,33.5,4.6,10.2,1447.6
"Walthall, MS",25.62,17.82,32.1,4.6,10.9,1517.7
"Warren, MS",24.98,17.21,47.1,6.0,13.6,1200.6
"Washington, MS",24.97,16.99,45.3,5.7,13.6,1238.2
"Wayne, MS",25.23,18.5,31.1,4.6,10.1,1467.1
"Webster, MS",24.32,17.41,33.6,4.5,11.0,1895.8
"Wilkinson, MS",26.62,18.25,39.4,6.2,13.3,1306.9
"Winston, MS",23.13,16.03,32.9,4.7,10.7,1284.7
"Yalobusha, MS",27.56,20.73,32.9,4.2,10.9,1851.5
"Yazoo, MS",27.0,19.42,40.1,5.4,13.1,1048.5
"Adair, MO",23.27,17.88,48.1,8.9,20.3,1145.0
"Andrew, MO",24.4,18.91,55.7,8.5,19.9,1051.7
"Atchison, MO",22.83,17.24,54.7,8.8,21.6,976.4
"Audrain, MO",28.77,23.1,48.3,8.3,18.9,1115.9
"Barry, MO",28.25,22.72,41.5,7.3,15.7,1227.5
"Barton, MO",26.99,21.8,42.5,6.2,15.5,1236.3
"Bates, MO",29.91,23.45,43.1,6.8,17.2,1245.3
"Benton, MO",28.79,22.97,45.3,8.0,19.0,974.3
"Bollinger, MO",28.25,22.62,42.2,8.6,19.2,1332.9
"Boone, MO",18.04,12.69,58.8,8.8,20.4,904.5
"Buchanan, MO",28.44,22.12,52.2,8.4,19.6,1271.4
"Butler, MO",29.93,23.95,43.4,8.2,18.4,1180.7
"Caldwell, MO",25.39,19.74,46.6,8.2,18.7,1085.8
"Callaway, MO",24.34,18.78,52.7,8.7,20.7,1065.2
"Camden, MO",27.06,20.66,47.9,8.5,19.9,904.4
"Cape Girardeau, MO",23.94,18.53,52.5,7.4,18.1,1163.6
"Carroll, MO",26.95,21.05,47.7,7.0,17.6,1248.6
"Carter, MO",28.36,22.21,38.2,8.2,16.9,1163.9
"Cass, MO",25.76,19.49,53.7,7.6,19.4,1081.0
"Cedar, MO",26.98,21.56,41.3,7.6,16.5,1260.0
"Chariton, MO",26.35,20.89,52.4,9.5,22.1,1144.6
"Christian, MO",21.96,16.9,50.1,6.4,15.1,1037.7
"Clark, MO",27.83,22.15,47.3,8.8,20.7,1233.3
"Clay, MO",23.0,16.94,57.2,8.1,20.7,975.4
"Clinton, MO",25.61,19.78,49.4,8.6,20.1,1197.7
"Cole, MO",21.36,15.75,58.1,9.1,20.5,955.9
"Cooper, MO",27.35,21.23,51.9,8.4,19.7,1247.6
"Crawford, MO",29.54,23.8,43.9,8.5,20.3,1829.1
"Dade, MO",28.69,22.64,33.5,7.2,13.6,1226.9
"Dallas, MO",27.89,22.0,41.3,7.4,16.5,1106.1
"Daviess, MO",25.61,19.9,42.9,7.9,17.3,1256.3
"DeKalb, MO",29.71,23.25,46.9,8.6,17.9,1228.4
"Dent, MO",29.73,24.19,41.9,7.1,17.1,973.0
"Douglas, MO",28.77,23.59,36.6,8.1,16.4,1296.0
"Dunklin, MO",32.35,26.52,37.0,7.0,15.4,1598.5
"Franklin, MO",26.54,21.18,52.9,9.4,22.7,1236.7
"Gasconade, MO",27.05,21.33,48.5,8.5,21.1,1161.3
"Gentry, MO",26.98,21.34,46.8,8.0,18.2,1077.9
"Greene, MO",23.59,17.71,50.9,6.9,16.7,1164.5
"Grundy, MO",27.51,22.12,47.4,7.0,17.0,1043.1
"Harrison, MO",29.26,23.73,48.2,8.0,19.2,1210.5
"Henry, MO",28.05,22.04,47.5,7.3,18.2,1584.0
"Hickory, MO",31.03,24.55,37.0,7.5,17.6,928.2
"Holt, MO",25.56,19.91,52.6,8.2,20.3,995.2
"Howard, MO",25.9,20.05,50.1,8.6,19.9,1222.9
"Howell, MO",25.21,20.23,40.9,7.8,16.1,1158.8
"Iron, MO",29.82,24.05,41.7,7.7,18.3,1691.4
"Jackson, MO",25.9,18.2,54.9,8.1,18.2,1020.6
"Jasper, MO",27.52,22.11,45.1,6.4,15.3,1261.1
"Jefferson, MO",28.19,22.14,53.0,9.3,23.3,1294.0
"Johnson, MO",22.42,16.32,53.4,8.2,19.8,1347.9
"Knox, MO",26.19,20.6,47.6,8.8,19.5,1214.2
"Laclede, MO",29.07,23.8,41.6,6.5,15.9,1332.0
"Lafayette, MO",26.54,20.13,48.8,7.6,18.9,1129.6
"Lawrence, MO",27.21,21.7,42.5,6.9,15.3,1294.3
"Lewis, MO",26.64,20.86,47.6,8.5,18.6,1317.2
"Lincoln, MO",27.51,21.71,49.6,9.5,21.5,1069.2
"Linn, MO",27.66,22.15,49.6,8.5,21.6,1306.2
"Livingston, MO",25.97,20.54,48.9,7.4,18.0,957.5
"McDonald, MO",29.81,23.71,38.4,7.8,15.7,1248.4
"Macon, MO",26.46,21.29,48.0,7.3,17.2,1201.7
"Madison, MO",29.09,23.37,41.7,7.6,17.5,1313.5
"Maries, MO",26.11,19.96,47.1,8.7,19.5,1136.2
"Marion, MO",27.96,22.61,51.8,8.2,19.2,1200.8
"Mercer, MO",26.08,20.57,48.5,7.9,17.5,1103.0
"Miller, MO",27.63,21.56,45.7,8.2,19.2,1093.0
"Mississippi, MO",32.3,25.65,37.5,6.8,13.9,1535.7
"Moniteau, MO",26.54,20.73,48.8,7.6,17.9,1029.7
"Monroe, MO",27.1,21.67,48.3,8.9,20.7,1113.3
"Montgomery, MO",29.06,23.09,47.6,8.4,20.7,1369.8
"Morgan, MO",28.67,22.6,44.3,8.0,18.9,1113.9
"New Madrid, MO",29.79,23.67,39.6,7.2,15.6,1398.9
"Newton, MO",26.72,21.27,43.7,6.9,15.8,1335.0
"Nodaway, MO",23.9,18.2,53.9,9.5,21.5,1227.4
"Oregon, MO",28.73,23.08,38.6,7.6,15.7,1309.7
"Osage, MO",24.5,19.15,53.6,11.5,24.4,1041.0
"Ozark, MO",29.55,23.58,38.9,8.3,17.1,985.5
"Pemiscot, MO",31.69,24.4,35.9,6.7,13.5,1739.9
"Perry, MO",27.46,22.09,55.5,10.1,23.3,1183.1
"Pettis, MO",26.94,21.3,48.0,7.4,18.0,1188.5
"Phelps, MO",24.27,18.24,49.2,8.0,18.9,1115.4
"Pike, MO",29.88,23.32,49.3,8.0,17.4,1147.7
"Platte, MO",20.02,14.63,60.1,8.6,21.2,900.5
"Polk, MO",25.78,20.13,42.7,7.3,16.9,1221.3
"Pulaski, MO",24.57,17.9,44.8,7.7,16.9,1192.1
"Putnam, MO",26.1,20.53,47.3,8.4,17.6,1096.0
"Ralls, MO",25.22,19.62,51.8,9.2,21.4,1033.7
"Randolph, MO",29.56,24.2,47.6,8.2,19.0,1226.1
"Ray, MO",27.73,21.42,49.7,8.0,20.0,1137.0
"Reynolds, MO",31.21,25.29,35.1,7.2,16.3,1374.5
"Ripley, MO",30.5,24.35,37.6,8.5,17.8,1283.1
"St. Charles, MO",19.61,15.05,62.4,9.6,22.7,1006.1
"St. Clair, MO",28.33,22.25,39.5,7.3,16.3,1191.0
"Ste. Genevieve, MO",27.68,22.25,49.7,10.0,22.6,1287.0
"St. Francois, MO",29.88,23.55,41.6,7.6,18.1,1426.0
"Saline, MO",27.76,21.45,48.7,7.7,18.5,1215.8
"Schuyler, MO",29.43,23.7,44.9,8.6,19.3,1027.5
"Scotland, MO",25.22,19.69,47.0,8.8,19.1,1104.7
"Scott, MO",28.57,23.24,45.0,7.9,17.5,1194.2
"Shannon, MO",26.95,21.42,35.6,8.6,17.4,1148.2
"Shelby, MO",26.4,20.97,48.4,8.3,18.9,1253.6
"Stoddard, MO",28.91,23.8,43.0,7.7,18.5,1338.9
"Stone, MO",27.37,21.78,43.4,8.1,18.4,1354.4
"Sullivan, MO",26.97,20.56,43.9,8.0,17.9,1224.2
"Taney, MO",27.26,21.56,41.8,7.2,16.1,1640.3
"Texas, MO",28.49,22.56,36.6,7.2,14.3,1290.9
"Vernon, MO",29.8,24.16,43.2,7.3,16.9,1203.4
"Warren, MO",26.84,21.33,49.2,8.8,20.7,1041.9
"Washington, MO",31.7,25.32,38.1,8.7,19.9,1567.9
"Wayne, MO",30.53,24.66,37.5,8.4,18.5,1092.8
"Webster, MO",27.29,22.08,41.5,6.9,14.8,1306.0
"Worth, MO",24.39,19.08,48.5,7.2,16.1,1231.2
"Wright, MO",28.55,23.76,38.5,7.0,15.2,1688.4
"Beaverhead, MT",19.28,13.76,61.0,13.2,25.4,1058.5
"Big Horn, MT",30.99,20.97,46.1,7.5,20.5,1061.0
"Blaine, MT",27.65,18.77,55.5,10.0,26.8,1238.0
"Broadwater, MT",24.07,17.88,61.0,13.5,24.2,1006.8
"Carbon, MT",19.34,13.46,66.9,15.7,30.0,825.8
"Carter, MT",22.9,17.25,53.2,9.9,20.8,1115.0
"Cascade, MT",22.65,17.24,60.5,12.3,23.4,951.7
"Chouteau, MT",22.91,16.17,60.5,11.1,28.4,956.0
"Custer, MT",23.25,17.82,58.9,8.7,20.9,1168.3
"Daniels, MT",20.05,14.59,43.9,9.1,19.7,1170.8
"Dawson, MT",23.28,17.76,56.8,9.9,22.8,617.1
"Deer Lodge, MT",26.04,19.92,62.8,16.2,31.0,1243.6
"Fallon, MT",21.72,16.25,61.9,8.3,24.0,1047.9
"Fergus, MT",22.08,16.53,61.5,11.4,25.2,1198.5
"Flathead, MT",19.27,14.18,64.0,12.1,22.8,974.6
"Gallatin, MT",15.08,10.01,67.9,11.8,23.1,995.0
"Garfield, MT",23.0,17.37,59.3,14.2,28.3,1126.0
"Glacier, MT",29.13,20.08,52.1,9.0,24.6,1038.3
"Golden Valley, MT",20.01,14.32,63.4,17.2,30.1,1067.7
"Granite, MT",21.15,15.18,64.1,17.7,27.9,1024.0
"Hill, MT",25.62,18.47,58.2,10.3,26.1,1344.4
"Jefferson, MT",18.48,12.68,68.1,15.4,25.3,1005.1
"Judith Basin, MT",18.35,12.99,67.7,17.0,31.9,925.0
"Lake, MT",24.64,16.97,59.2,10.5,23.8,939.7
"Lewis and Clark, MT",18.73,13.13,65.1,11.3,22.5,981.4
"Liberty, MT",24.04,17.87,56.1,15.1,30.0,884.9
"Lincoln, MT",21.41,16.08,63.1,12.3,24.5,920.8
"McCone, MT",20.65,15.22,61.5,7.2,21.7,1059.4
"Madison, MT",17.78,12.22,68.7,17.9,30.8,754.1
"Meagher, MT",26.6,20.24,63.9,17.9,31.5,980.2
"Mineral, MT",25.88,19.34,63.4,18.1,32.9,978.4
"Missoula, MT",18.47,12.95,65.8,11.8,24.0,970.6
"Musselshell, MT",23.58,17.61,57.9,12.4,24.8,1089.9
"Park, MT",19.54,14.03,68.7,16.3,27.3,820.9
"Petroleum, MT",20.26,15.05,65.8,19.0,32.6,1221.4
"Phillips, MT",23.69,17.42,65.4,13.8,32.4,1210.8
"Pondera, MT",23.64,17.42,53.2,8.7,20.6,1002.1
"Powder River, MT",21.85,16.12,64.2,13.3,26.6,1098.8
"Powell, MT",25.23,18.94,61.5,15.4,27.6,995.7
"Prairie, MT",21.81,16.17,62.2,12.3,25.8,913.8
"Ravalli, MT",20.55,15.18,61.0,10.7,20.6,975.7
"Richland, MT",24.41,18.69,59.9,9.2,23.4,1098.1
"Roosevelt, MT",31.77,22.28,48.1,7.3,23.6,1219.5
"Rosebud, MT",24.29,16.48,50.9,10.3,22.7,1080.1
"Sanders, MT",23.15,17.06,60.9,12.8,24.1,937.8
"Sheridan, MT",21.89,15.75,53.1,6.3,21.3,735.1
"Silver Bow, MT",24.64,18.45,61.4,13.2,26.5,1523.2
"Stillwater, MT",20.79,15.03,64.3,14.1,25.6,983.9
"Sweet Grass, MT",20.21,14.73,62.5,10.7,23.2,765.8
"Teton, MT",19.41,14.06,58.2,10.2,25.0,964.7
"Toole, MT",25.24,19.17,66.8,14.2,33.2,1192.3
"Treasure, MT",21.0,15.05,61.6,13.4,27.0,1071.6
"Valley, MT",24.35,18.19,61.2,11.0,28.1,1247.5
"Wheatland, MT",22.71,16.94,57.9,11.0,26.6,1361.2
"Wibaux, MT",21.22,15.82,57.2,7.7,18.2,909.7
"Yellowstone, MT",21.61,15.48,61.5,10.4,23.2,1061.6
"Adams, NE",20.46,15.89,61.4,9.7,22.5,1021.1
"Antelope, NE",22.09,16.35,60.0,10.4,23.2,1060.6
"Arthur, NE",17.86,12.52,54.8,7.6,21.1,872.8
"Banner, NE",18.52,13.54,53.2,8.4,18.5,965.2
"Blaine, NE",21.74,16.08,51.3,7.6,17.3,1110.6
"Boone, NE",21.11,15.57,63.1,11.1,26.3,1108.8
"Box Butte, NE",22.95,17.46,58.6,8.4,20.9,1147.6
"Boyd, NE",22.97,17.27,58.6,10.0,22.7,1306.1
"Brown, NE",22.56,16.78,57.8,9.0,21.4,1084.8
"Buffalo, NE",18.21,13.55,63.8,9.7,23.5,1016.4
"Burt, NE",21.47,15.89,62.1,10.2,24.3,991.5
"Butler, NE",23.86,17.9,69.5,14.3,31.8,964.5
"Cass, NE",22.06,16.69,63.1,11.1,24.4,934.3
"Cedar, NE",22.15,16.57,63.0,11.9,26.6,1053.7
"Chase, NE",21.44,15.85,53.5,8.4,17.8,1035.0
"Cherry, NE",22.21,16.53,59.3,9.6,21.0,956.2
"Cheyenne, NE",20.44,15.09,61.0,9.1,22.8,942.2
"Clay, NE",21.59,16.11,55.9,9.0,21.6,1068.0
"Colfax, NE",21.74,15.08,59.9,9.6,23.8,912.4
"Cuming, NE",21.93,16.26,64.7,10.3,24.4,1027.2
"Custer, NE",20.95,15.81,58.9,8.8,21.0,1068.4
"Dakota, NE",24.96,18.32,54.3,9.1,24.8,905.2
"Dawes, NE",18.38,12.9,58.3,9.2,20.5,1013.0
