county_state,2012 Both Sexes,cig_total_mean,cig_daily_mean,deaths-per-100k
"Buchanan, IA",64.3,21.74,16.45,1148.5
"Buchanan, MO",52.2,28.44,22.12,1271.4
"Buchanan, VA",23.8,30.06,23.18,1309.2
"Buckingham, VA",38.6,25.88,18.83,907.6
"Bucks, PA",66.1,19.32,14.42,961.6
"Buena Vista, IA",56.5,19.33,13.96,1102.5
"Buffalo, NE",63.8,18.21,13.55,1016.4
"Buffalo, SD",27.4,35.67,24.12,1109.8
"Buffalo, WI",67.1,21.99,16.29,1038.2
"Bullitt, KY",46.1,31.54,27.16,918.8
"Bulloch, GA",44.7,20.67,14.32,1055.7
"Bullock, AL",37.1,26.84,18.49,1223.2
"Buncombe, NC",52.6,21.76,15.79,928.4
"Bureau, IL",56.1,24.13,18.02,1196.0
"Burke, GA",34.7,26.73,19.35,1172.7
"Burke, NC",38.8,26.01,20.43,982.2
"Burke, ND",66.6,24.07,18.03,700.7
"Burleigh, ND",67.0,18.82,13.88,786.8
"Burleson, TX",48.4,23.52,17.09,1714.5
"Burlington, NJ",62.4,18.97,12.81,1123.3
"Burnet, TX",51.3,21.64,15.5,918.5
"Burnett, WI",64.4,22.96,16.5,907.6
"Burt, NE",62.1,21.47,15.89,991.5
"Butler, AL",35.8,28.14,20.22,1138.2
"Butler, IA",60.0,21.53,16.44,1215.1
"Butler, KS",52.1,21.53,16.26,1174.0
"Butler, KY",25.7,30.03,23.92,1014.7
"Butler, MO",43.4,29.93,23.95,1180.7
"Butler, NE",69.5,23.86,17.9,964.5
"Butler, OH",55.8,23.57,17.51,1053.5
"Butler, PA",59.5,21.08,15.64,1180.8
"Butte, CA",58.4,21.01,15.24,1002.9
"Butte, ID",30.7,21.08,15.49,1200.1
"Butte, SD",55.9,24.99,18.73,1010.9
"Butts, GA",37.7,27.66,20.0,1110.0
"Cabarrus, NC",48.6,21.52,15.55,999.7
"Cabell, WV",36.1,26.92,21.76,1026.0
"Cache, UT",18.6,10.89,8.09,973.5
"Caddo, LA",47.7,26.0,18.83,964.0
"Caddo, OK",35.8,30.43,22.18,1505.1
"Calaveras, CA",60.6,19.66,14.34,927.8
"Calcasieu, LA",50.2,26.11,19.96,1915.5
"Caldwell, KY",31.9,29.77,24.1,1527.8
"Caldwell, LA",34.0,29.25,22.28,2100.1
"Caldwell, MO",46.6,25.39,19.74,1085.8
"Caldwell, NC",36.6,27.53,22.52,1135.4
"Caldwell, TX",49.9,21.64,14.48,1027.9
"Caledonia, VT",64.9,19.47,14.15,1018.9
"Calhoun, AL",38.2,26.42,19.94,1743.1
"Calhoun, AR",39.0,29.84,22.84,1453.2
"Calhoun, FL",40.2,28.7,21.71,1111.9
"Calhoun, GA",31.3,25.77,17.24,1055.2
"Calhoun, IA",58.5,20.66,14.81,1131.9
"Calhoun, IL",63.9,22.12,16.45,1070.3
"Calhoun, MI",55.3,25.53,19.09,1249.0
"Calhoun, MS",29.0,27.32,20.02,1235.4
"Calhoun, SC",44.4,22.2,15.1,973.6
"Calhoun, TX",46.2,19.98,13.22,950.0
"Calhoun, WV",25.8,31.8,25.95,1106.4
"Callahan, TX",43.5,23.43,17.41,1298.2
"Callaway, MO",52.7,24.34,18.78,1065.2
"Calloway, KY",41.5,23.68,18.62,1257.2
"Calumet, WI",71.9,17.72,13.22,1051.1
"Calvert, MD",61.8,20.23,15.3,1119.8
"Camas, ID",55.2,22.42,16.74,678.4
"Cambria, PA",58.4,23.21,17.57,1189.1
"Camden, GA",51.4,23.07,16.94,1095.8
"Camden, MO",47.9,27.06,20.66,904.4
"Camden, NC",51.8,22.02,16.0,1157.7
"Camden, NJ",59.3,20.93,14.44,1180.2
"Cameron, LA",49.9,26.64,20.86,1600.3
"Cameron, PA",51.7,26.26,20.35,1186.5
"Cameron, TX",42.3,15.2,8.13,866.4
"Camp, TX",44.5,23.95,16.81,1246.4
"Campbell, KY",61.7,25.5,19.5,1038.4
"Campbell, SD",61.5,20.13,14.85,792.6
"Campbell, TN",29.4,32.09,26.26,1466.4
"Campbell, VA",47.6,25.13,19.77,1034.0
"Campbell, WY",59.3,24.35,18.67,1141.3
"Canadian, OK",49.9,22.23,16.41,1148.4
"Candler, GA",41.4,24.24,17.33,1327.8
"Cannon, TN",32.1,28.18,22.52,1174.6
"Canyon, ID",46.3,21.01,15.51,1127.0
"Cape Girardeau, MO",52.5,23.94,18.53,1163.6
"Cape May, NJ",64.4,22.68,16.31,1271.3
"Carbon, MT",66.9,19.34,13.46,825.8
"Carbon, PA",59.0,26.47,19.69,1168.2
"Carbon, UT",34.2,17.56,13.65,1222.7
"Carbon, WY",57.3,22.91,17.16,958.1
"Caribou, ID",24.6,20.51,15.21,1181.4
"Carlisle, KY",34.9,26.02,20.2,1132.2
"Carlton, MN",62.6,23.99,17.27,953.1
"Caroline, MD",48.5,23.91,17.79,1162.7
"Caroline, VA",47.8,23.89,17.37,1032.7
"Carroll, AR",45.2,24.58,18.71,1358.7
"Carroll, GA",43.0,24.49,18.53,1290.7
"Carroll, IA",66.4,22.7,17.23,1005.6
"Carroll, IL",57.9,22.01,16.41,1122.4
"Carroll, IN",50.6,24.44,18.51,985.4
"Carroll, KY",40.2,31.98,26.13,1378.8
"Carroll, MD",62.3,17.92,13.06,1109.7
"Carroll, MO",47.7,26.95,21.05,1248.6
"Carroll, MS",38.5,25.82,18.58,1295.0
"Carroll, NH",67.2,20.7,15.32,879.4
"Carroll, OH",48.9,28.36,21.56,1233.8
"Carroll, TN",30.8,26.85,20.67,1746.0
"Carroll, VA",36.3,26.3,20.52,799.3
"Carson, TX",43.8,20.03,14.2,1125.0
"Carter, KY",28.6,30.91,25.84,1303.2
"Carter, MO",38.2,28.36,22.21,1163.9
"Carter, MT",53.2,22.9,17.25,1115.0
"Carter, OK",44.3,27.65,21.07,1385.0
"Carter, TN",31.0,29.17,23.07,1226.0
"Carteret, NC",55.5,23.52,17.39,1067.3
"Carver, MN",71.8,15.04,9.8,677.6
"Cascade, MT",60.5,22.65,17.24,951.7
"Casey, KY",29.9,30.74,25.21,906.6
"Cass, IA",57.5,23.46,17.77,1241.3
"Cass, IL",51.9,25.25,18.96,1193.2
"Cass, IN",46.4,27.17,20.25,1009.7
"Cass, MI",55.6,24.65,18.35,1239.5
"Cass, MN",57.4,23.24,16.22,709.5
"Cass, MO",53.7,25.76,19.49,1081.0
"Cass, ND",67.3,18.99,13.59,785.9
"Cass, NE",63.1,22.06,16.69,934.3
"Cass, TX",38.2,24.93,18.03,1212.1
"Cassia, ID",27.6,20.44,15.07,1115.4
"Castro, TX",43.5,19.97,13.0,1198.3
"Caswell, NC",41.6,27.94,19.88,1033.3
"Catahoula, LA",33.3,29.49,21.75,1686.2
"Catawba, NC",45.6,23.34,17.75,961.0
"Catoosa, GA",43.0,25.06,19.21,1168.4
"Catron, NM",46.3,22.33,15.39,1013.2
"Cattaraugus, NY",58.6,25.21,18.2,1365.7
"Cavalier, ND",69.6,21.76,16.42,853.9
"Cayuga, NY",60.7,23.31,16.93,1116.6
"Cecil, MD",53.7,22.8,17.38,1260.5
"Cedar, IA",63.3,21.95,16.01,935.0
"Cedar, MO",41.3,26.98,21.56,1260.0
"Cedar, NE",63.0,22.15,16.57,1053.7
"Centre, PA",61.6,15.39,10.77,1041.2
"Cerro Gordo, IA",62.7,22.6,17.2,1228.1
"Chaffee, CO",65.5,21.55,14.59,622.3
"Chambers, AL",39.5,28.18,20.96,1111.6
"Chambers, TX",54.1,21.44,14.73,1283.7
"Champaign, IL",59.4,17.19,11.35,860.7
"Champaign, OH",49.0,25.61,19.36,1187.2
"Chariton, MO",52.4,26.35,20.89,1144.6
"Charles City, VA",40.6,26.25,18.22,1006.2
"Charles Mix, SD",49.5,26.99,19.13,986.0
"Charles, MD",56.2,17.96,12.33,1022.3
"Charleston, SC",63.6,19.13,12.22,834.8
"Charlevoix, MI",63.8,22.37,16.74,1058.8
"Charlotte, FL",64.4,24.39,18.3,675.5
"Charlotte, VA",40.9,25.75,18.63,1124.3
"Charlton, GA",37.6,29.75,21.96,943.3
"Chase, KS",47.5,22.65,16.73,1209.1
"Chase, NE",53.5,21.44,15.85,1035.0
"Chatham, GA",56.5,21.72,14.32,1029.8
"Chatham, NC",52.4,18.33,11.92,706.3
"Chattahoochee, GA",44.2,19.16,12.91,1132.1
"Chattooga, GA",32.1,29.77,22.34,1536.2
"Chautauqua, KS",40.7,25.31,18.24,1275.6
"Chautauqua, NY",57.5,24.91,17.32,1222.8
"Chaves, NM",43.7,22.89,16.39,1602.5
"Cheatham, TN",38.9,26.0,20.14,1340.6
"Cheboygan, MI",59.3,26.0,19.78,1177.8
"Chelan, WA",55.7,18.97,13.24,841.8
"Chemung, NY",58.9,21.93,16.26,1288.2
"Chenango, NY",59.9,22.61,16.71,1638.7
"Cherokee, AL",31.6,25.76,19.77,1217.7
"Cherokee, GA",56.5,18.89,13.27,978.9
"Cherokee, IA",63.7,21.14,15.94,1110.8
"Cherokee, KS",43.7,27.23,21.49,1537.4
"Cherokee, NC",44.2,25.31,18.42,1074.9
"Cherokee, OK",43.0,27.76,19.67,1487.9
"Cherokee, SC",35.1,28.09,21.11,1176.6
"Cherokee, TX",41.1,25.18,18.02,1358.1
"Cherry, NE",59.3,22.21,16.53,956.2
"Cheshire, NH",65.9,20.52,15.02,964.3
"Chester, PA",66.9,14.68,10.36,1028.1
"Chester, SC",37.0,27.03,19.47,1213.4
"Chester, TN",32.6,25.68,19.17,1315.9
"Chesterfield, SC",34.1,25.52,18.59,1321.2
"Chesterfield, VA",60.7,18.88,13.26,973.1
"Cheyenne, CO",60.4,20.97,15.06,785.2
"Cheyenne, KS",52.6,20.67,14.99,1046.4
"Cheyenne, NE",61.0,20.44,15.09,942.2
"Chickasaw, IA",64.1,22.7,17.65,1254.0
"Chickasaw, MS",30.7,26.65,18.85,1267.3
"Chicot, AR",34.7,26.63,18.46,1366.9
"Childress, TX",48.1,22.14,15.71,1263.7
"Chilton, AL",32.3,27.62,21.08,1528.6
"Chippewa, MI",58.2,24.45,17.71,1130.1
"Chippewa, MN",64.0,22.73,17.21,910.9
"Chippewa, WI",69.9,22.81,16.81,1099.1
"Chisago, MN",63.0,22.94,16.49,970.0
"Chittenden, VT",71.5,13.78,10.0,798.2
"Choctaw, AL",33.7,24.66,17.62,1525.6
"Choctaw, MS",33.1,23.8,16.88,1115.4
"Choctaw, OK",30.1,28.86,21.66,1489.3
"Chouteau, MT",60.5,22.91,16.17,956.0
"Chowan, NC",42.5,24.9,17.94,1008.1
"Christian, IL",52.9,27.88,21.81,1162.9
"Christian, KY",39.6,29.0,23.16,1233.4
"Christian, MO",50.1,21.96,16.9,1037.7
"Churchill, NV",55.1,24.29,18.1,1384.2
"Cibola, NM",38.4,25.67,16.71,977.5
"Cimarron, OK",45.3,22.55,16.38,1112.5
"Citrus, FL",59.8,26.54,20.61,1201.9
"Clackamas, OR",64.9,17.61,12.27,807.3
"Claiborne, LA",38.6,27.84,20.83,1183.4
"Claiborne, MS",46.0,24.15,15.08,1728.7
"Claiborne, TN",26.3,28.54,22.7,1460.6
"Clallam, WA",60.9,23.97,16.67,837.7
"Clare, MI",52.9,27.72,21.35,1387.4
"Clarendon, SC",37.2,23.73,16.64,1021.4
"Clarion, PA",54.3,23.76,18.32,1170.3
"Clark, AR",38.0,23.96,17.23,1327.6
"Clark, ID",40.6,22.17,15.54,1060.6
"Clark, IL",45.5,23.83,17.95,1319.8
